	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.5734000205993652	0.8197484659906872	0.8087961237420798	[0.74754098 0.86187845]	[0.82014388 0.80205656]	[0.78216123 0.83089214]
1	1	0.4895065128803253	0.8282779929500849	0.8222139396198286	[0.75700935 0.90769231]	[0.87096774 0.81944444]	[0.81       0.86131387]
2	2	0.3987872898578644	0.8410722833891814	0.8363771897130078	[0.75250836 0.88      ]	[0.84269663 0.80628272]	[0.795053   0.84153005]
3	3	0.368838369846344	0.8602637190478263	0.8583674990682072	[0.86       0.90178571]	[0.88659794 0.87826087]	[0.87309645 0.88986784]
4	4	0.33446618914604187	0.876582967056878	0.8818486768542676	[0.82274247 0.92      ]	[0.89781022 0.85866667]	[0.85863874 0.88827586]
5	5	0.30536550283432007	0.8810218025153401	0.8792396571002609	[0.86029412 0.92245989]	[0.88973384 0.90078329]	[0.87476636 0.91149273]
6	6	0.2985936403274536	0.8667479002567562	0.8647036898993664	[0.752443   0.95663957]	[0.93522267 0.82284382]	[0.83393502 0.88471178]
7	7	0.2940269112586975	0.8868532138039079	0.8896757361162877	[0.89444444 0.85185185]	[0.84293194 0.90078329]	[0.86792453 0.87563452]
8	8	0.28221404552459717	0.8872883937508159	0.8878121505777116	[0.8449848  0.91504854]	[0.88817891 0.88084112]	[0.86604361 0.89761905]
9	9	0.273566871881485	0.8907698333260803	0.8941483414088707	[0.85625   0.9327957]	[0.91638796 0.88295165]	[0.88529887 0.90718954]
10	10	0.2695820927619934	0.8899865094216458	0.8837122623928438	[0.803125   0.94147583]	[0.91785714 0.85450346]	[0.85666667 0.89588378]
11	11	0.265964537858963	0.8888115235649942	0.8904211703317182	[0.85923754 0.92892157]	[0.90993789 0.88758782]	[0.88386124 0.90778443]
12	12	0.264572411775589	0.8854606379738021	0.8814759597465524	[0.79487179 0.95135135]	[0.93233083 0.84615385]	[0.85813149 0.8956743 ]
13	13	0.2646480202674866	0.8939031289438183	0.8907938874394334	[0.91304348 0.88414634]	[0.85873606 0.92948718]	[0.88505747 0.90625   ]
14	14	0.26146408915519714	0.8895948474694286	0.8807305255311219	[0.85981308 0.88915663]	[0.85714286 0.89130435]	[0.85847589 0.89022919]
15	15	0.2513991892337799	0.8960355106836677	0.888557584793142	[0.90379009 0.88717949]	[0.87570621 0.91292876]	[0.88952654 0.89986996]
16	16	0.25101494789123535	0.9016493319987815	0.8907938874394334	[0.83737024 0.94444444]	[0.92720307 0.87297297]	[0.88       0.90730337]
17	17	0.24452851712703705	0.9054353975368815	0.8982482295937384	[0.87804878 0.9040404 ]	[0.88343558 0.89949749]	[0.88073394 0.90176322]
18	18	0.23988379538059235	0.9037381957439401	0.8904211703317182	[0.87462687 0.90191388]	[0.87724551 0.89976134]	[0.87593423 0.90083632]
19	19	0.2362440824508667	0.9056965055050263	0.8896757361162877	[0.83666667 0.93139842]	[0.90613718 0.87810945]	[0.87001733 0.90396927]
20	20	0.2333763986825943	0.90643631141477	0.8837122623928438	[0.94936709 0.88056206]	[0.85470085 0.95918367]	[0.89955022 0.91819292]
21	21	0.22816239297389984	0.9105705209103965	0.8919120387625792	[0.87828947 0.91361257]	[0.89       0.90414508]	[0.88410596 0.90885417]
22	22	0.22152137756347656	0.9056094695156447	0.8781215057771151	[0.83081571 0.87660668]	[0.85139319 0.85894207]	[0.84097859 0.86768448]
23	23	0.22035138309001923	0.9148788023847861	0.8893030190085724	[0.90725806 0.90936556]	[0.88235294 0.92901235]	[0.89463221 0.91908397]
24	24	0.21465876698493958	0.9172722920927804	0.888557584793142	[0.84899329 0.90560472]	[0.8877193  0.87215909]	[0.86792453 0.88856729]
