	epochs	train_losses	train_accs	dev_accs
0	0	0.6513964533805847	0.7149571347752296	0.7249347745061498
1	1	0.5515551567077637	0.8376343618086078	0.8244502422661201
2	2	0.4307161867618561	0.8602202010531355	0.8520313082370481
3	3	0.342775821685791	0.8823273423560642	0.8777487886693999
4	4	0.3002015948295593	0.8935549849862918	0.8844576966082743
5	5	0.2748540937900543	0.8990817703120241	0.8878121505777116
6	6	0.25951671600341797	0.9036511597545586	0.888557584793142
7	7	0.2470840960741043	0.9101788589581792	0.888557584793142
8	8	0.23643836379051208	0.9132251185865355	0.8937756243011554
9	9	0.22847723960876465	0.9121371687192654	0.8907938874394334
10	10	0.22311629354953766	0.9179685800078332	0.8904211703317182
11	11	0.21626466512680054	0.9181861699812872	0.8811032426388371
12	12	0.20817488431930542	0.930501762478785	0.8881848676854268
13	13	0.20245417952537537	0.9328952521867793	0.8911666045471487
14	14	0.19057583808898926	0.9388572174594195	0.8889303019008572
15	15	0.17878569662570953	0.9350276339266287	0.8784942228848304
16	16	0.1677703559398651	0.9453413986683493	0.8855758479314201
17	17	0.16031627357006073	0.9545236955481091	0.8814759597465524
18	18	0.146972194314003	0.9547848035162539	0.8751397689153932
19	19	0.14148084819316864	0.9530876017233126	0.8784942228848304
20	20	0.13276244699954987	0.9639235824013229	0.8825941110696981
21	21	0.11996331810951233	0.9695809217111275	0.8807305255311219
22	22	0.10749934613704681	0.9788937725749598	0.8814759597465524
23	23	0.09687896817922592	0.9794159885112494	0.8825941110696981
24	24	0.08741974830627441	0.9808520823360459	0.8784942228848304
