	epochs	train_losses	train_accs	dev_accs
0	0	0.6688914895057678	0.593430430740626	0.6032863849765259
1	1	0.565573513507843	0.7516933020496702	0.7692823608316566
2	2	0.42952510714530945	0.8138917172074903	0.8205902079141516
3	3	0.3585716784000397	0.8538669263800965	0.8618376928236083
4	4	0.3235448896884918	0.8753375536765683	0.8732394366197183
5	5	0.30338767170906067	0.8834388419142061	0.8846411804158283
6	6	0.31378963589668274	0.8804727964938687	0.8873239436619719
7	7	0.2656548321247101	0.890123511443623	0.8856472166331322
8	8	0.2771761119365692	0.8912302448094205	0.892354124748491
9	9	0.2888137102127075	0.8910531674708929	0.8879946344735077
10	10	0.25830164551734924	0.8960998716189296	0.8869885982562039
11	11	0.24278859794139862	0.8941962902297579	0.8893360160965795
12	12	0.2524225115776062	0.9010137677630705	0.8936955063715627
13	13	0.26105257868766785	0.9100889813626101	0.8893360160965795
14	14	0.2248823642730713	0.9019434237903404	0.8846411804158283
15	15	0.22879716753959656	0.9135862587985303	0.8957075788061704
16	16	0.22256404161453247	0.9170835362344504	0.8936955063715627
17	17	0.23347754776477814	0.9180574615963522	0.8849765258215962
18	18	0.21578124165534973	0.9313382619859224	0.8943661971830986
19	19	0.19298896193504333	0.9363406967993271	0.8930248155600268
20	20	0.2086363136768341	0.9383328168577626	0.8957075788061704
21	21	0.1826997548341751	0.952853158617026	0.8873239436619719
22	22	0.175317645072937	0.9608216388507681	0.8900067069081153
23	23	0.14420412480831146	0.9598919828234982	0.8903420523138833
24	24	0.1473836600780487	0.9545353933330382	0.8775989268947015
