	epochs	train_losses	train_accs	dev_accs
0	0	0.6687532067298889	0.5981697171381032	0.5936310141917619
1	1	0.588457465171814	0.7724844557316752	0.7725856697819314
2	2	0.44567927718162537	0.8150013136001402	0.8106611284181378
3	3	0.3561351001262665	0.8595761450214555	0.8473520249221184
4	4	0.31452956795692444	0.8632980120851212	0.8515057113187954
5	5	0.28967544436454773	0.874857693318154	0.8622360678435445
6	6	0.2902499735355377	0.8592258516507575	0.8456213222568363
7	7	0.304738312959671	0.8836588142569402	0.8656974731741087
8	8	0.27810734510421753	0.8876871880199667	0.8656974731741087
9	9	0.2553788721561432	0.8791925737805412	0.855313257182416
10	10	0.2593599259853363	0.8910149750415973	0.8712357217030114
11	11	0.26014745235443115	0.8842280409843244	0.8653513326410522
12	12	0.25744158029556274	0.8892635081881075	0.8625822083766009
13	13	0.2550324499607086	0.8880374813906646	0.8632744894427138
14	14	0.2535659372806549	0.9014362028198616	0.8788508134302527
15	15	0.25089287757873535	0.8914090550836326	0.8691588785046729
16	16	0.23053830862045288	0.911331990542079	0.8791969539633091
17	17	0.23311744630336761	0.9047639898414922	0.8691588785046729
18	18	0.2353895902633667	0.9107189771433576	0.8757355486327449
19	19	0.24141442775726318	0.9080042035204484	0.8670820353063343
20	20	0.22214968502521515	0.9160171643751642	0.8740048459674628
21	21	0.224209725856781	0.9219721516770295	0.8733125649013499
22	22	0.20614126324653625	0.9256940187406953	0.8688127379716165
23	23	0.2112962305545807	0.9128645240388825	0.8566978193146417
24	24	0.1928918957710266	0.9266573255101147	0.8618899273104881
