	epochs	train_losses	train_accs	dev_accs	non_default_accs	non_default_precision_0	non_default_precision_1	non_default_recall_0	non_default_recall_1
0	0	0.5149247646331787	0.8329179238270147	0.8285086112128985	0.34331337325349304	0.2597402597402597	0.48333333333333334	0.39215686274509803	0.3372093023255814
1	1	0.44801950454711914	0.8467794831431195	0.8424331256870649	0.3333333333333333	0.22535211267605634	0.55	0.37209302325581395	0.375
2	2	0.37132740020751953	0.8647951375224102	0.8585562477097838	0.36926147704590817	0.17721518987341772	0.6041666666666666	0.42424242424242425	0.30851063829787234
3	3	0.33103057742118835	0.8849971577244304	0.8765115426896299	0.500998003992016	0.41975308641975306	0.5609756097560976	0.6538461538461539	0.32857142857142857
4	4	0.29775550961494446	0.8831606104333377	0.8710150238182485	0.5808383233532934	0.4864864864864865	0.6111111111111112	0.72	0.36666666666666664
5	5	0.2781620919704437	0.8840788840788841	0.8717478930010993	0.4471057884231537	0.18571428571428572	0.8444444444444444	0.65	0.4
6	6	0.2688257694244385	0.8950107131925313	0.8779772810553316	0.5528942115768463	0.47674418604651164	0.6222222222222222	0.7068965517241379	0.3835616438356164
7	7	0.26347050070762634	0.8891075254711618	0.8750458043239282	0.4630738522954092	0.3333333333333333	0.7090909090909091	0.6666666666666666	0.3786407766990291
8	8	0.2559656500816345	0.9007827189645371	0.8845731037009894	0.5189620758483033	0.43661971830985913	0.6428571428571429	0.7560975609756098	0.3103448275862069
9	9	0.25025326013565063	0.9053303598758144	0.8787101502381824	0.5169660678642715	0.38372093023255816	0.5217391304347826	0.6	0.3116883116883117
10	10	0.24193137884140015	0.8958852595216231	0.8702821546353976	0.4550898203592814	0.2808988764044944	0.7567567567567568	0.7352941176470589	0.30434782608695654
11	11	0.24045437574386597	0.9040622676986313	0.8812751923781605	0.5149700598802395	0.3108108108108108	0.7674418604651163	0.696969696969697	0.39285714285714285
12	12	0.23868446052074432	0.9101840920022738	0.8820080615610114	0.6007984031936128	0.5	0.7358490566037735	0.7083333333333334	0.5342465753424658
13	13	0.23045487701892853	0.9149940968122786	0.8779772810553316	0.6127744510978044	0.581081081081081	0.7021276595744681	0.7543859649122807	0.515625
14	14	0.22436341643333435	0.915912370457825	0.8816416269695859	0.5588822355289421	0.43661971830985913	0.5476190476190477	0.62	0.36507936507936506
15	15	0.2167908251285553	0.9147754602300057	0.8878710150238183	0.5968063872255489	0.49382716049382713	0.7083333333333334	0.7407407407407407	0.4533333333333333
16	16	0.21087217330932617	0.9190607372425554	0.8875045804323928	0.6387225548902196	0.5616438356164384	0.6470588235294118	0.7735849056603774	0.4074074074074074
17	17	0.20982280373573303	0.9187109187109187	0.883473799926713	0.5868263473053892	0.5056179775280899	0.8095238095238095	0.8490566037735849	0.4358974358974359
18	18	0.21248862147331238	0.913463640736368	0.8801758886038842	0.5329341317365269	0.4657534246575342	0.6086956521739131	0.6538461538461539	0.417910447761194
19	19	0.20796214044094086	0.9171804626350081	0.8761451080982045	0.5568862275449101	0.4235294117647059	0.7358490566037735	0.72	0.4431818181818182
20	20	0.20165623724460602	0.9295990205081114	0.8816416269695859	0.5748502994011976	0.48863636363636365	0.74	0.7678571428571429	0.45121951219512196
21	21	0.19288241863250732	0.9291617473435655	0.8812751923781605	0.6407185628742516	0.6891891891891891	0.7254901960784313	0.7846153846153846	0.6166666666666667
22	22	0.18712052702903748	0.9240893786348332	0.8746793697325027	0.624750499001996	0.5306122448979592	0.6410256410256411	0.7878787878787878	0.352112676056338
23	23	0.18567901849746704	0.9317853863308408	0.8779772810553316	0.5588822355289421	0.5111111111111111	0.8181818181818182	0.8214285714285714	0.5056179775280899
24	24	0.17758166790008545	0.9367703004066641	0.8816416269695859	0.5768463073852296	0.5189873417721519	0.6727272727272727	0.6949152542372882	0.49333333333333335
