	epochs	train_losses	train_accs	dev_accs
0	0	0.5431367754936218	0.823643581826202	0.81811697574893
1	1	0.4710746705532074	0.8345831495368328	0.8277460770328102
2	2	0.3943776488304138	0.8514777238641377	0.8512838801711841
3	3	0.36143141984939575	0.8679752977503309	0.8616262482168331
4	4	0.33106207847595215	0.8739303043670048	0.8748216833095578
5	5	0.31309834122657776	0.8811645346272607	0.8708987161198288
6	6	0.29680871963500977	0.8810763123070137	0.8787446504992867
7	7	0.28802406787872314	0.8852227613586238	0.8744650499286734
8	8	0.2811746299266815	0.8837670930745478	0.8744650499286734
9	9	0.27897539734840393	0.8851786501985002	0.8669757489300999
10	10	0.2758433520793915	0.8901191001323335	0.8755349500713266
11	11	0.26692089438438416	0.8937803264225849	0.8851640513552068
12	12	0.2626922130584717	0.8911336568151742	0.8712553495007133
13	13	0.25777339935302734	0.8996471107190119	0.8819543509272468
14	14	0.25009822845458984	0.8858844287604764	0.8723252496433667
15	15	0.2506071627140045	0.8908248786943097	0.8830242510699001
16	16	0.2527869641780853	0.8993383325981473	0.8819543509272468
17	17	0.24724440276622772	0.8986325540361711	0.8783880171184023
18	18	0.23876002430915833	0.9008822232024702	0.8773181169757489
19	19	0.23349812626838684	0.9085134539038376	0.8830242510699001
20	20	0.23342685401439667	0.9089545655050728	0.8769614835948645
21	21	0.23032648861408234	0.9106749007498898	0.8819543509272468
22	22	0.22575359046459198	0.9086016762240847	0.8830242510699001
23	23	0.2230108380317688	0.9192324658138509	0.8823109843081313
24	24	0.2136046290397644	0.9211733568592854	0.880527817403709
