	epochs	train_losses	train_accs	dev_accs	non_default_accs	non_default_precision_0	non_default_precision_1	non_default_recall_0	non_default_recall_1
0	0	0.5511327981948853	0.8196764550729735	0.811699550017307	0.24772313296903462	0.15625	0.34285714285714286	0.39473684210526316	0.12903225806451613
1	1	0.4765806198120117	0.8390627747494285	0.829698857736241	0.28415300546448086	0.16129032258064516	0.631578947368421	0.5172413793103449	0.23529411764705882
2	2	0.3949556350708008	0.8500087919817126	0.8348909657320872	0.2786885245901639	0.1308411214953271	0.6	0.4117647058823529	0.24390243902439024
3	3	0.3667413294315338	0.8608229294883066	0.8373139494634821	0.3224043715846995	0.14285714285714285	0.6530612244897959	0.45161290322580644	0.27586206896551724
4	4	0.34659427404403687	0.8717689467205908	0.8321218414676359	0.37340619307832423	0.3867924528301887	0.6136363636363636	0.7068965517241379	0.29347826086956524
5	5	0.32530540227890015	0.8772199753824512	0.8335064035998615	0.331511839708561	0.1919191919191919	0.7441860465116279	0.6333333333333333	0.2857142857142857
6	6	0.3093595504760742	0.8911113064884825	0.8376600899965386	0.39344262295081966	0.3804347826086957	0.62	0.6481481481481481	0.3522727272727273
7	7	0.28879573941230774	0.8995955688412168	0.8335064035998615	0.42805100182149364	0.41414141414141414	0.6545454545454545	0.6833333333333333	0.3829787234042553
8	8	0.26935526728630066	0.9092667487251627	0.8290065766701281	0.424408014571949	0.2604166666666667	0.5833333333333334	0.5555555555555556	0.2828282828282828
9	9	0.2505509555339813	0.9164761737295587	0.8341986846659744	0.40437158469945356	0.32432432432432434	0.5714285714285714	0.5714285714285714	0.32432432432432434
10	10	0.23210956156253815	0.9264111130648848	0.8303911388023537	0.40619307832422585	0.4069767441860465	0.6111111111111112	0.7142857142857143	0.3013698630136986
11	11	0.2138390690088272	0.9343678565148584	0.8400830737279336	0.47176684881602915	0.36363636363636365	0.6595744680851063	0.6666666666666666	0.3563218390804598
12	12	0.19544121623039246	0.9412256022507474	0.8307372793354102	0.4335154826958106	0.2987012987012987	0.4418604651162791	0.48936170212765956	0.2602739726027397
13	13	0.18062837421894073	0.9448303147529453	0.8279681550709588	0.46994535519125685	0.5060240963855421	0.47058823529411764	0.7	0.2807017543859649
14	14	0.16509106755256653	0.9504132231404959	0.8272758740048459	0.44626593806921677	0.5164835164835165	0.5294117647058824	0.746031746031746	0.2903225806451613
15	15	0.15276989340782166	0.9505890627747494	0.8283142956040153	0.41894353369763204	0.37894736842105264	0.6	0.6666666666666666	0.313953488372093
16	16	0.14329028129577637	0.956743449973624	0.8279681550709588	0.4371584699453552	0.36936936936936937	0.4791666666666667	0.6212121212121212	0.24731182795698925
17	17	0.13226501643657684	0.9585018463161596	0.8300449982692973	0.4408014571948998	0.32954545454545453	0.6153846153846154	0.6590909090909091	0.2891566265060241
18	18	0.12394902110099792	0.9609636011957096	0.8272758740048459	0.4644808743169399	0.41	0.46808510638297873	0.6212121212121212	0.2716049382716049
19	19	0.12046729773283005	0.9610515210128363	0.8231221876081689	0.42987249544626593	0.391304347826087	0.7	0.75	0.3333333333333333
20	20	0.11520127207040787	0.9629417970810621	0.8220837660089997	0.47540983606557374	0.46875	0.65	0.7627118644067796	0.33766233766233766
21	21	0.10782797634601593	0.9619746790926675	0.8269297334717896	0.42987249544626593	0.2872340425531915	0.6122448979591837	0.5869565217391305	0.30927835051546393
22	22	0.10531951487064362	0.9636891155266397	0.8213914849428868	0.46083788706739526	0.43333333333333335	0.5681818181818182	0.6724137931034483	0.32894736842105265
23	23	0.10366927832365036	0.9643924740636539	0.8238144686742818	0.4553734061930783	0.3867924528301887	0.6486486486486487	0.7592592592592593	0.2696629213483146
24	24	0.10034424811601639	0.9653156321434851	0.8234683281412254	0.45901639344262296	0.3333333333333333	0.5833333333333334	0.6590909090909091	0.26582278481012656
