	epochs	train_losses	train_accs	dev_accs
0	0	0.6440312266349792	0.6491811892459936	0.6396677050882659
1	1	0.4202133119106293	0.8199054207899116	0.8013153340256144
2	2	0.4098679721355438	0.83947806287766	0.8172377985462098
3	3	0.39178499579429626	0.8363254225413784	0.80754586362063
4	4	0.3643582761287689	0.8410105963744636	0.8151609553478713
5	5	0.35371267795562744	0.8444697434101059	0.8168916580131533
6	6	0.35790005326271057	0.8572554514405815	0.8189685012114919
7	7	0.3509363830089569	0.8645678255539014	0.8193146417445483
8	8	0.31888347864151	0.8578684648393029	0.8054690204222914
9	9	0.32478323578834534	0.8800683072072861	0.8155070958809276
10	10	0.30160197615623474	0.8828268675015325	0.8037383177570093
11	11	0.2723398208618164	0.9059024432962606	0.8106611284181378
12	12	0.24145440757274628	0.9147473509063841	0.8099688473520249
13	13	0.22673167288303375	0.930641912601804	0.7999307718933887
14	14	0.20622922480106354	0.9432086872755933	0.8065074420214607
15	15	0.18491485714912415	0.9492950345914704	0.7874697127033575
16	16	0.15786102414131165	0.9633943427620633	0.7985462097611631
17	17	0.14270628988742828	0.9680795165951485	0.8002769124264452
18	18	0.09747455269098282	0.9637884228040984	0.7840083073727934
19	19	0.08893685042858124	0.9737717838689903	0.8085842852197992
20	20	0.07777795940637589	0.9818723180663806	0.7954309449636553
21	21	0.06282439827919006	0.9892284788510377	0.7905849775008653
22	22	0.06459611654281616	0.9866450652421402	0.7933541017653167
23	23	0.06815306842327118	0.9878710920395831	0.7822776047075113
24	24	0.05225919559597969	0.9904545056484806	0.7909311180339218
