	epochs	train_losses	train_accs	dev_accs
0	0	0.4390285909175873	0.8494366072220744	0.8115501519756839
1	1	0.3771951496601105	0.8743678466861858	0.8240459304289092
2	2	0.33761316537857056	0.8943305829118978	0.8280986153326579
3	3	0.3141762614250183	0.9122526838789815	0.8260722728807836
4	4	0.2932366132736206	0.9222784136278946	0.8230327592029719
5	5	0.24637992680072784	0.9200159701889805	0.8257345491388045
6	6	0.23827491700649261	0.9297755301215509	0.8253968253968254
7	7	0.22942396998405457	0.9344778635436075	0.8257345491388045
8	8	0.21936066448688507	0.9339455239109218	0.8328267477203647
9	9	0.22783294320106506	0.9371395617070357	0.8247213779128673
10	10	0.22488869726657867	0.9382486026084642	0.8257345491388045
11	11	0.1959218680858612	0.9394020051459497	0.828774062816616
12	12	0.20095358788967133	0.941753171856978	0.8206686930091185
13	13	0.24169261753559113	0.9386922189690355	0.8331644714623438
14	14	0.2044641077518463	0.9409103007718924	0.8169537318473489
15	15	0.21713826060295105	0.9410433856800638	0.8270854441067207
16	16	0.1995737999677658	0.9419306184012066	0.828774062816616
17	17	0.1961875855922699	0.9425073196699494	0.8233704829449511
18	18	0.20353469252586365	0.9412651938603496	0.8196555217831814
19	19	0.1845591515302658	0.9432171058468636	0.8277608915906788
20	20	0.19580215215682983	0.9421967882175495	0.8318135764944276
21	21	0.1902705729007721	0.9408659391358354	0.8230327592029719
22	22	0.19012977182865143	0.9442817851122349	0.8274231678486997
23	23	0.19412700831890106	0.9422855114896638	0.828436339074637
24	24	0.1786600649356842	0.9443705083843492	0.8270854441067207
