	epochs	train_losses	train_accs	dev_accs
0	0	0.573749303817749	0.8147172462240956	0.8050426136363636
1	1	0.4887908399105072	0.8305672637864419	0.8139204545454546
2	2	0.4061957895755768	0.8329381805409203	0.8274147727272727
3	3	0.3926491439342499	0.8382507903055848	0.8245738636363636
4	4	0.3840146064758301	0.8404021777309448	0.8274147727272727
5	5	0.3807060420513153	0.8457147874956095	0.8295454545454546
6	6	0.37399762868881226	0.8474710221285564	0.8249289772727273
7	7	0.36634334921836853	0.8562961011591148	0.8291903409090909
8	8	0.35966888070106506	0.8532226905514577	0.8274147727272727
9	9	0.3518214821815491	0.8642430628731999	0.8362926136363636
10	10	0.34337595105171204	0.8588865472427116	0.8192471590909091
11	11	0.3352207541465759	0.8679750614682121	0.8270596590909091
12	12	0.3274191617965698	0.8823761854583773	0.8334517045454546
13	13	0.31617507338523865	0.8784246575342466	0.8327414772727273
14	14	0.3043779730796814	0.8942746750965929	0.8426846590909091
15	15	0.28764259815216064	0.90678784685634	0.8291903409090909
16	16	0.27243271470069885	0.9015191429574991	0.8416193181818182
17	17	0.26284104585647583	0.9180716543730242	0.8274147727272727
18	18	0.2393958568572998	0.9238233227959255	0.8245738636363636
19	19	0.22061969339847565	0.9368194590797331	0.8245738636363636
20	20	0.20566116273403168	0.9419125395152792	0.8146306818181818
21	21	0.18457739055156708	0.9550842992623815	0.828125
22	22	0.16275377571582794	0.96175799086758	0.8188920454545454
23	23	0.1397767812013626	0.9762469265893924	0.8274147727272727
24	24	0.12363523244857788	0.9786178433438707	0.8249289772727273
