	epochs	train_losses	train_accs	dev_accs
0	0	1.3489855527877808	0.5696694750486067	0.5693000155207202
1	1	1.1066035032272339	0.5469863901490603	0.5107869005121838
2	2	0.9581280946731567	0.5992655001080147	0.5882352941176471
3	3	0.8738529086112976	0.6180600561676388	0.6029799782709918
4	4	0.8162832260131836	0.6615899762367682	0.6473692379326401
5	5	0.7745585441589355	0.687297472456254	0.676392984634487
6	6	0.6617247462272644	0.6728235039965436	0.6586993636504734
7	7	0.595801055431366	0.7370922445452581	0.7352165140462518
8	8	0.572374165058136	0.7750054007344999	0.7878317553934503
9	9	0.5571696162223816	0.8038453229639231	0.819649231724352
10	10	0.543967604637146	0.8015770144739685	0.8121992860468725
11	11	0.53252112865448	0.7961762799740765	0.8049045475710073
12	12	0.5209354162216187	0.803953337653921	0.7971441874902996
13	13	0.5099711418151855	0.8244761287535105	0.8277200062082881
14	14	0.49555522203445435	0.8136746597537265	0.8100263852242744
15	15	0.48295336961746216	0.8271764960034564	0.8134409436597858
16	16	0.47548744082450867	0.8049254698639015	0.7988514667080553
17	17	0.46493101119995117	0.8438107582631238	0.8452584199906875
18	18	0.4491578936576843	0.849751566213005	0.850690672047183
19	19	0.43220236897468567	0.8492114927630158	0.8376532671115939
20	20	0.4146093726158142	0.8478073017930439	0.834704330280925
21	21	0.40070199966430664	0.8442428170231151	0.8641936985876144
22	22	0.3824949860572815	0.8508317131129833	0.8353251590873817
23	23	0.3697144687175751	0.8602289911427954	0.8582958249262765
24	24	0.3592838644981384	0.8588248001728235	0.8596926897408039
