	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.4719034731388092	0.7883756853558758	0.778	729	[0.89252336 0.28735632]	[0.75494071 0.52083333]
1	1	0.42662665247917175	0.8052485953387313	0.7921333333333334	729	[0.95979899 0.59090909]	[0.87614679 0.82978723]
2	2	0.42523428797721863	0.8117669026158103	0.7965333333333333	729	[0.9375     0.49253731]	[0.81521739 0.76744186]
3	3	0.41601112484931946	0.8160275670078593	0.7982666666666667	729	[0.89166667 0.69565217]	[0.8359375  0.78688525]
4	4	0.4026811420917511	0.825567381304001	0.8037333333333333	729	[0.95480226 0.57954545]	[0.82038835 0.86440678]
5	5	0.4103021025657654	0.8211030198095433	0.8045333333333333	729	[0.92672414 0.45783133]	[0.82692308 0.69090909]
6	6	0.3963041603565216	0.8278929232231671	0.8068	729	[0.9261745  0.51578947]	[0.75       0.81666667]
7	7	0.39394065737724304	0.8297771214204478	0.8028	729	[0.87931034 0.70422535]	[0.87931034 0.70422535]
8	8	0.3725685179233551	0.8331890478857938	0.7992	729	[0.90340909 0.53246753]	[0.81538462 0.70689655]
9	9	0.38194140791893005	0.8411162601211998	0.8062666666666667	729	[0.92045455 0.56626506]	[0.81818182 0.7704918 ]
10	10	0.35981279611587524	0.836074756836584	0.7990666666666667	729	[0.81958763 0.69736842]	[0.87362637 0.60227273]
11	11	0.35187339782714844	0.8540680008826874	0.8122666666666667	729	[0.91011236 0.63380282]	[0.86170213 0.73770492]
12	12	0.34582942724227905	0.8627081529765239	0.8088	729	[0.9039548 0.72     ]	[0.8839779  0.76056338]
13	13	0.3340848386287689	0.8717556992751778	0.8097333333333333	729	[0.89830508 0.60810811]	[0.84574468 0.71428571]
14	14	0.315291166305542	0.8682249495000933	0.8084	729	[0.94117647 0.51764706]	[0.81105991 0.8       ]
15	15	0.2964286208152771	0.8934494406817063	0.8077333333333333	729	[0.95652174 0.50724638]	[0.83809524 0.81395349]
16	16	0.28562429547309875	0.8937040620597172	0.8008	729	[0.95783133 0.61445783]	[0.83246073 0.87931034]
17	17	0.2667486071586609	0.9164332637368233	0.8029333333333334	729	[0.92814371 0.58461538]	[0.85164835 0.76      ]
18	18	0.242489755153656	0.9231722428748451	0.8016	729	[0.87837838 0.60869565]	[0.82802548 0.7       ]
19	19	0.21780361235141754	0.9329666785489976	0.7988	729	[0.90954774 0.64367816]	[0.85377358 0.75675676]
20	20	0.19303704798221588	0.9453752270373954	0.7988	729	[0.88571429 0.64935065]	[0.82119205 0.75757576]
21	21	0.17400749027729034	0.9541851267165724	0.7982666666666667	729	[0.83850932 0.75280899]	[0.85987261 0.72043011]
22	22	0.15279856324195862	0.963674016737112	0.7962666666666667	729	[0.79874214 0.64912281]	[0.86394558 0.53623188]
23	23	0.13992467522621155	0.9671538422365942	0.7993333333333333	729	[0.88659794 0.6043956 ]	[0.82692308 0.71428571]
24	24	0.12834002077579498	0.9648622498344961	0.7812	729	[0.82439024 0.72727273]	[0.90374332 0.57142857]
