	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.3001118302345276	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.9375 0.    ]	[0.96774194 0.        ]
1	1	0.2930803596973419	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.92307692 0.        ]	[0.96 0.  ]
2	2	0.29406413435935974	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.90990991 0.        ]	[0.95283019 0.        ]
3	3	0.29592975974082947	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.8487395 0.       ]	[0.91818182 0.        ]
4	4	0.3044798672199249	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.89655172 0.        ]	[0.94545455 0.        ]
5	5	0.2961920201778412	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.97278912 0.        ]	[0.9862069 0.       ]
6	6	0.2946105897426605	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.9084507 0.       ]	[0.95202952 0.        ]
7	7	0.2833056151866913	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.94366197 0.        ]	[0.97101449 0.        ]
8	8	0.2977651357650757	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.92592593 0.        ]	[0.96153846 0.        ]
9	9	0.2838618755340576	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.89261745 0.        ]	[0.94326241 0.        ]
10	10	0.29171451926231384	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.8 0. ]	[0.88888889 0.        ]
11	11	0.2880614399909973	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.88983051 0.        ]	[0.94170404 0.        ]
12	12	0.2998645305633545	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.8440367 0.       ]	[0.91542289 0.        ]
13	13	0.28278520703315735	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.85314685 0.        ]	[0.92075472 0.        ]
14	14	0.28864824771881104	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.98113208 0.        ]	[0.99047619 0.        ]
15	15	0.30132144689559937	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.936 0.   ]	[0.96694215 0.        ]
16	16	0.29541996121406555	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.93577982 0.        ]	[0.96682464 0.        ]
17	17	0.29108983278274536	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.96808511 0.        ]	[0.98378378 0.        ]
18	18	0.30662497878074646	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.94017094 0.        ]	[0.969163 0.      ]
19	19	0.29485973715782166	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.80508475 0.        ]	[0.89201878 0.        ]
20	20	0.29386892914772034	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.94366197 0.        ]	[0.97101449 0.        ]
21	21	0.28372088074684143	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.93670886 0.        ]	[0.96732026 0.        ]
22	22	0.2994459569454193	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.92436975 0.        ]	[0.96069869 0.        ]
23	23	0.2793961763381958	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.8452381 0.       ]	[0.91612903 0.        ]
24	24	0.3130878508090973	0.9058642972536349	0.9038504044914017	[1. 0.]	[0.90178571 0.        ]	[0.94835681 0.        ]
