	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.4218893051147461	0.8282444803446419	0.8299367844038725	[1.         0.10714286]	[0.8 1. ]	[0.88888889 0.19354839]
1	1	0.41751208901405334	0.8301077005923533	0.8329428407232218	[0.96721311 0.28571429]	[0.88721805 0.6       ]	[0.9254902  0.38709677]
2	2	0.4209398627281189	0.8320247711362413	0.8339153883559525	[1. 0.]	[0.8018018 0.       ]	[0.89 0.  ]
3	3	0.42089346051216125	0.8323855681206247	0.8341806286194244	[0.98148148 0.        ]	[0.90598291 0.        ]	[0.94222222 0.        ]
4	4	0.41196951270103455	0.8333710285406569	0.8337385615136378	[0.97478992 0.30769231]	[0.86567164 0.72727273]	[0.91699605 0.43243243]
5	5	0.40735259652137756	0.8336779752288638	0.8336059413819018	[0.95       0.14814815]	[0.83211679 0.4       ]	[0.88715953 0.21621622]
6	6	0.4132460951805115	0.8340441572428648	0.8333407011184297	[1.         0.17948718]	[0.76296296 1.        ]	[0.86554622 0.30434783]
7	7	0.4058011472225189	0.8350834679590737	0.835948897042571	[0.96460177 0.17241379]	[0.81954887 0.55555556]	[0.88617886 0.26315789]
8	8	0.40021777153015137	0.8354227248249866	0.8346226957252111	[0.98148148 0.33333333]	[0.85483871 0.81818182]	[0.9137931  0.47368421]
9	9	0.4070574939250946	0.8350834679590737	0.8344016621723177	[0.9338843  0.10714286]	[0.81884058 0.27272727]	[0.87258687 0.15384615]
10	10	0.41155490279197693	0.8355519655358105	0.8348437292781045	[1.   0.25]	[0.8487395 1.       ]	[0.91818182 0.4       ]
11	11	0.4100435972213745	0.8356112008616048	0.8339595950665311	[0.93939394 0.42105263]	[0.89423077 0.57142857]	[0.91625616 0.48484848]
12	12	0.3976036608219147	0.8373774905761981	0.8355068299367844	[0.96703297 0.33333333]	[0.88       0.66666667]	[0.92146597 0.44444444]
13	13	0.4022827446460724	0.8378675282714055	0.8364351708589364	[0.98198198 0.25      ]	[0.81954887 0.8       ]	[0.89344262 0.38095238]
14	14	0.4088156819343567	0.8392784060312332	0.8361257238848857	[0.93902439 0.29166667]	[0.81914894 0.58333333]	[0.875      0.38888889]
15	15	0.4004915654659271	0.8390360796984383	0.8366562044118298	[0.99 0.08]	[0.81147541 0.66666667]	[0.89189189 0.14285714]
16	16	0.39932093024253845	0.8405600430802369	0.8363909641483577	[0.97826087 0.29411765]	[0.88235294 0.71428571]	[0.92783505 0.41666667]
17	17	0.40329596400260925	0.8424340333871836	0.837672958755139	[0.8974359 0.25     ]	[0.85365854 0.33333333]	[0.875      0.28571429]
18	18	0.40729597210884094	0.8428648357565967	0.8349763494098404	[0.92708333 0.19047619]	[0.83962264 0.36363636]	[0.88118812 0.25      ]
19	19	0.3978273272514343	0.8431017770597738	0.8365677909906724	[0.95       0.22222222]	[0.87155963 0.44444444]	[0.90909091 0.2962963 ]
20	20	0.39044082164764404	0.8453688745288099	0.8368330312541444	[0.98412698 0.3125    ]	[0.91851852 0.71428571]	[0.95019157 0.43478261]
21	21	0.39391574263572693	0.8452073236402801	0.837009858096459	[0.97841727 0.15789474]	[0.89473684 0.5       ]	[0.9347079 0.24     ]
22	22	0.38193777203559875	0.8473721055465805	0.8347553158569471	[0.95555556 0.24137931]	[0.7962963  0.63636364]	[0.86868687 0.35      ]
23	23	0.38561832904815674	0.8516262789445342	0.836081517174307	[0.97241379 0.30434783]	[0.89808917 0.63636364]	[0.93377483 0.41176471]
24	24	0.38431376218795776	0.8514270328486807	0.8386897130984483	[0.9787234  0.16666667]	[0.85981308 0.6       ]	[0.91542289 0.26086957]
