	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.30307820439338684	0.8804807251616846	0.8733333333333333	[0.97841727 0.36507937]	[0.87179487 0.79310345]	[0.9220339 0.5      ]
1	1	0.27501964569091797	0.8924139804111286	0.8773333333333333	[0.96059113 0.5       ]	[0.87443946 0.77777778]	[0.91549296 0.60869565]
2	2	0.25472941994667053	0.8999337984417172	0.8852	[0.93396226 0.5862069 ]	[0.89189189 0.70833333]	[0.9124424  0.64150943]
3	3	0.2458771914243698	0.9095075622549269	0.8849333333333333	[0.95979899 0.72      ]	[0.93170732 0.81818182]	[0.94554455 0.76595745]
4	4	0.22549737989902496	0.9181137648316953	0.8824	[0.92307692 0.59574468]	[0.90995261 0.63636364]	[0.91646778 0.61538462]
5	5	0.21265976130962372	0.9255147595525454	0.8826666666666667	[0.92783505 0.57692308]	[0.89108911 0.68181818]	[0.90909091 0.625     ]
6	6	0.18989501893520355	0.9346132301268014	0.8846666666666667	[0.93548387 0.54347826]	[0.89230769 0.67567568]	[0.91338583 0.60240964]
7	7	0.16984407603740692	0.948685304951537	0.8794666666666666	[0.96111111 0.71428571]	[0.92513369 0.83333333]	[0.94277929 0.76923077]
8	8	0.155398890376091	0.9516728624535316	0.8753333333333333	[0.89316239 0.70454545]	[0.94144144 0.55357143]	[0.91666667 0.62      ]
9	9	0.13407383859157562	0.9654903159002564	0.8849333333333333	[0.94170404 0.69565217]	[0.9375     0.71111111]	[0.93959732 0.7032967 ]
10	10	0.11298763006925583	0.9717540017993244	0.884	[0.92708333 0.56818182]	[0.9035533  0.64102564]	[0.9151671  0.60240964]
11	11	0.0979200229048729	0.9775423944594388	0.8730666666666667	[0.89099526 0.66666667]	[0.94472362 0.48888889]	[0.91707317 0.56410256]
12	12	0.07817433029413223	0.9820746549880328	0.8692	[0.93434343 0.83673469]	[0.95854922 0.75925926]	[0.94629156 0.7961165 ]
13	13	0.06484899669885635	0.9859109504167303	0.8761333333333333	[0.93723849 0.63265306]	[0.92561983 0.67391304]	[0.93139293 0.65263158]
14	14	0.04883139953017235	0.9907657313574715	0.8781333333333333	[0.94       0.57692308]	[0.91439689 0.66666667]	[0.9270217 0.6185567]
15	15	0.04556190222501755	0.9913768226646976	0.8710666666666667	[0.96153846 0.57142857]	[0.91463415 0.75675676]	[0.9375     0.65116279]
16	16	0.04360203817486763	0.9926669043132862	0.8806666666666667	[0.95098039 0.70454545]	[0.93719807 0.75609756]	[0.94403893 0.72941176]
17	17	0.028847621753811836	0.9960958055371663	0.8765333333333334	[0.91079812 0.68627451]	[0.92380952 0.64814815]	[0.91725768 0.66666667]
18	18	0.026541203260421753	0.9941097587886812	0.8774666666666666	[0.93782383 0.7       ]	[0.93782383 0.7       ]	[0.93782383 0.7       ]
19	19	0.02190515771508217	0.9949584967153843	0.8770666666666667	[0.953125  0.7173913]	[0.93367347 0.78571429]	[0.94329897 0.75      ]
20	20	0.02442903071641922	0.996316477398109	0.8766666666666667	[0.92372881 0.546875  ]	[0.88259109 0.66037736]	[0.90269151 0.5982906 ]
21	21	0.026963092386722565	0.9967238716029264	0.8784	[0.93396226 0.64444444]	[0.92523364 0.6744186 ]	[0.92957746 0.65909091]
22	22	0.021168703213334084	0.9972670638760164	0.8772	[0.921875   0.63043478]	[0.91237113 0.65909091]	[0.91709845 0.64444444]
23	23	0.015714626759290695	0.9976744580808338	0.8782666666666666	[0.94811321 0.51111111]	[0.90134529 0.67647059]	[0.92413793 0.58227848]
24	24	0.013369396328926086	0.9981158018027193	0.8746666666666667	[0.92274678 0.79545455]	[0.95982143 0.66037736]	[0.94091904 0.72164948]
