	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.42189547419548035	0.813685050330159	0.7964	[0.86448598 0.3908046 ]	[0.77731092 0.53968254]	[0.81858407 0.45333333]
1	1	0.39248770475387573	0.8271460338476685	0.8101333333333334	[0.92462312 0.59090909]	[0.87203791 0.72222222]	[0.89756098 0.65      ]
2	2	0.38904401659965515	0.8334606440223388	0.8144	[0.9        0.64179104]	[0.85714286 0.72881356]	[0.87804878 0.68253968]
3	3	0.3705924451351166	0.8427628116990036	0.8190666666666667	[0.90833333 0.68115942]	[0.83206107 0.81034483]	[0.8685259  0.74015748]
4	4	0.35047128796577454	0.8498073364906384	0.8194666666666667	[0.92090395 0.67045455]	[0.84895833 0.80821918]	[0.88346883 0.73291925]
5	5	0.35347792506217957	0.8552053097044695	0.8214666666666667	[0.90948276 0.53012048]	[0.844      0.67692308]	[0.87551867 0.59459459]
6	6	0.33089137077331543	0.8633871433178864	0.8189333333333333	[0.91946309 0.67368421]	[0.81547619 0.84210526]	[0.86435331 0.74853801]
7	7	0.3206079304218292	0.8743188878138208	0.82	[0.86206897 0.77464789]	[0.90361446 0.69620253]	[0.88235294 0.73333333]
8	8	0.2977815270423889	0.8841981972806436	0.8246666666666667	[0.88636364 0.61038961]	[0.83870968 0.70149254]	[0.86187845 0.65277778]
9	9	0.29239389300346375	0.9009183344366927	0.8276	[0.89772727 0.63855422]	[0.84042553 0.74647887]	[0.86813187 0.68831169]
10	10	0.2612612843513489	0.9115615080375482	0.8201333333333334	[0.90721649 0.73684211]	[0.89795918 0.75675676]	[0.9025641  0.74666667]
11	11	0.2419709414243698	0.920880650472747	0.8238666666666666	[0.85955056 0.70422535]	[0.87931034 0.66666667]	[0.86931818 0.68493151]
12	12	0.21015191078186035	0.9349527252974826	0.8153333333333334	[0.89265537 0.68      ]	[0.86813187 0.72857143]	[0.88022284 0.70344828]
13	13	0.18853753805160522	0.9461730406884962	0.8136	[0.86440678 0.7972973 ]	[0.91071429 0.71084337]	[0.88695652 0.75159236]
14	14	0.1616285741329193	0.9518765595559403	0.8104	[0.86631016 0.57647059]	[0.81818182 0.66216216]	[0.84155844 0.6163522 ]
15	15	0.13728156685829163	0.96370796625418	0.8058666666666666	[0.82608696 0.60869565]	[0.84916201 0.56756757]	[0.83746556 0.58741259]
16	16	0.12590816617012024	0.9705827434604742	0.8168	[0.87951807 0.68674699]	[0.84883721 0.74025974]	[0.86390533 0.7125    ]
17	17	0.10547856986522675	0.9710071124238258	0.8065333333333333	[0.89221557 0.58461538]	[0.84659091 0.67857143]	[0.86880466 0.62809917]
18	18	0.09669040143489838	0.9766936565327359	0.8104	[0.90540541 0.62318841]	[0.8375     0.75438596]	[0.87012987 0.68253968]
19	19	0.08649890869855881	0.9763371866035205	0.8156	[0.93467337 0.6091954 ]	[0.84545455 0.8030303 ]	[0.88782816 0.69281046]
20	20	0.07963868230581284	0.979579365483526	0.8029333333333334	[0.88571429 0.64935065]	[0.82119205 0.75757576]	[0.85223368 0.6993007 ]
21	21	0.07537508010864258	0.981005245200387	0.8170666666666667	[0.88198758 0.65168539]	[0.82080925 0.75324675]	[0.8502994  0.69879518]
22	22	0.06526127457618713	0.9884571641968393	0.7938666666666667	[0.83018868 0.71929825]	[0.89189189 0.60294118]	[0.85993485 0.656     ]
23	23	0.05098949372768402	0.9911052265281526	0.8093333333333333	[0.92783505 0.64835165]	[0.8490566  0.80821918]	[0.88669951 0.7195122 ]
24	24	0.046403683722019196	0.9881346437846922	0.7888	[0.80487805 0.83333333]	[0.9375     0.57894737]	[0.86614173 0.68322981]
