	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.20244963467121124	0.923338718362951	0.9228592900402282	[0.99       0.67857143]	[0.91666667 0.95      ]	[0.95192308 0.79166667]
1	1	0.1846424639225006	0.9351319332256327	0.9314353918924893	[0.95901639 0.85714286]	[0.975     0.7826087]	[0.96694215 0.81818182]
2	2	0.1760992556810379	0.9406408185245019	0.9354139958445692	[0.96629213 0.63636364]	[0.91489362 0.82352941]	[0.93989071 0.71794872]
3	3	0.17304055392742157	0.9447980613893376	0.9336015207108439	[0.97222222 1.        ]	[1.         0.78571429]	[0.98591549 0.88      ]
4	4	0.15397807955741882	0.947652127086699	0.9362097166349852	[0.94957983 0.88461538]	[0.97413793 0.79310345]	[0.96170213 0.83636364]
5	5	0.15315482020378113	0.950032310177706	0.9367844038725078	[0.99166667 0.59259259]	[0.91538462 0.94117647]	[0.952      0.72727273]
6	6	0.14171569049358368	0.9556973613354873	0.9364307501878785	[1.         0.87179487]	[0.9537037 1.       ]	[0.97630332 0.93150685]
7	7	0.13520675897598267	0.9590953150242326	0.9339993811060519	[0.96460177 0.79310345]	[0.94782609 0.85185185]	[0.95614035 0.82142857]
8	8	0.12633642554283142	0.962924071082391	0.9361213032138278	[0.96296296 0.77777778]	[0.94545455 0.84      ]	[0.95412844 0.80769231]
9	9	0.11589530855417252	0.9690199246095853	0.9303744308386013	[0.99173554 0.89285714]	[0.97560976 0.96153846]	[0.98360656 0.92592593]
10	10	0.09910200536251068	0.9744372644049543	0.9325847663675346	[0.95049505 0.95833333]	[0.98969072 0.82142857]	[0.96969697 0.88461538]
11	11	0.09279555827379227	0.9756004308023695	0.931346978471332	[0.8989899  0.68421053]	[0.93684211 0.56521739]	[0.91752577 0.61904762]
12	12	0.08037184178829193	0.9785514270328487	0.9299323637328146	[0.96703297 0.55555556]	[0.91666667 0.76923077]	[0.94117647 0.64516129]
13	13	0.07840546220541	0.9810770059235325	0.9279872684673534	[0.95495495 0.8125    ]	[0.94642857 0.83870968]	[0.95067265 0.82539683]
14	14	0.07349669188261032	0.9835971997845988	0.9297555368905	[0.95121951 0.875     ]	[0.96296296 0.84      ]	[0.95705521 0.85714286]
15	15	0.06344182044267654	0.9841033925686591	0.9306838778126519	[0.96 0.84]	[0.96 0.84]	[0.96 0.84]
16	16	0.06076043099164963	0.9845611200861605	0.9296671234693427	[1.         0.94117647]	[0.98924731 1.        ]	[0.99459459 0.96969697]
17	17	0.05683140456676483	0.9855788906838988	0.9282525087308253	[0.97435897 0.875     ]	[0.97435897 0.875     ]	[0.97435897 0.875     ]
18	18	0.05460852384567261	0.985589660743134	0.9219309491180762	[0.91666667 1.        ]	[1.         0.72413793]	[0.95652174 0.84      ]
19	19	0.05262695625424385	0.9874044157242865	0.9251138322797401	[0.96       0.94444444]	[0.98969072 0.80952381]	[0.97461929 0.87179487]
20	20	0.04442093148827553	0.9894184168012924	0.926705273860572	[0.96825397 0.75      ]	[0.96825397 0.75      ]	[0.96825397 0.75      ]
21	21	0.046484846621751785	0.989154550350027	0.9270147208346227	[0.9352518  0.78947368]	[0.97014925 0.625     ]	[0.95238095 0.69767442]
22	22	0.04340657591819763	0.9897899838449111	0.9282083020202466	[0.98888889 0.75862069]	[0.92708333 0.95652174]	[0.95698925 0.84615385]
23	23	0.03979421406984329	0.9895261173936457	0.9293134697847133	[0.97241379 0.82608696]	[0.97241379 0.82608696]	[0.97241379 0.82608696]
24	24	0.04144986718893051	0.9911523963381799	0.925511692674948	[0.95744681 0.88888889]	[0.97826087 0.8       ]	[0.96774194 0.84210526]
