	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.4642150104045868	0.7971353469334223	0.7981265039532486	[0.99681529 0.04878049]	[0.80051151 0.8       ]	[0.88794326 0.09195402]
1	1	0.4627911150455475	0.7998513571854046	0.8001890684083878	[0.95209581 0.3030303 ]	[0.82170543 0.65217391]	[0.88210818 0.4137931 ]
2	2	0.45018523931503296	0.8019443791703327	0.8015211412856652	[0.96830986 0.11842105]	[0.80409357 0.5       ]	[0.87859425 0.19148936]
3	3	0.443897545337677	0.8030865243265989	0.8028102440701272	[0.97577855 0.13333333]	[0.84431138 0.53333333]	[0.90529695 0.21333333]
4	4	0.4367636740207672	0.8022941269693806	0.8010914403575111	[0.96363636 0.18556701]	[0.77034884 0.64285714]	[0.85621971 0.288     ]
5	5	0.4495214819908142	0.8034581313630874	0.8015641113784806	[0.95254237 0.14634146]	[0.8005698  0.46153846]	[0.86996904 0.22222222]
6	6	0.4410620927810669	0.8010153615791114	0.8002320385012032	[0.96621622 0.10204082]	[0.76470588 0.5       ]	[0.85373134 0.16949153]
7	7	0.4463227689266205	0.8042450639109454	0.8028532141629426	[0.97819315 0.27848101]	[0.84636119 0.75862069]	[0.90751445 0.40740741]
8	8	0.44348224997520447	0.8040920492488619	0.8047009281540048	[0.97651007 0.17021277]	[0.88181818 0.53333333]	[0.92675159 0.25806452]
9	9	0.44234731793403625	0.8054199979233725	0.8036266758336198	[0.96048632 0.15957447]	[0.8        0.53571429]	[0.87292818 0.24590164]
10	10	0.44370269775390625	0.8060812398559476	0.8040993468545892	[0.95015576 0.26470588]	[0.85915493 0.52941176]	[0.90236686 0.35294118]
11	11	0.43884578347206116	0.8068025946914842	0.803540735647989	[0.95439739 0.24719101]	[0.81388889 0.61111111]	[0.87856072 0.352     ]
12	12	0.4380260407924652	0.8065949319357995	0.8040993468545892	[0.95061728 0.21917808]	[0.84383562 0.5       ]	[0.89404935 0.3047619 ]
13	13	0.4417324662208557	0.8065949319357995	0.8034547954623582	[0.94498382 0.19230769]	[0.82253521 0.46875   ]	[0.87951807 0.27272727]
14	14	0.42410576343536377	0.806316226658433	0.803755586112066	[0.95112782 0.078125  ]	[0.81089744 0.27777778]	[0.87543253 0.12195122]
15	15	0.43641066551208496	0.8081305433659947	0.8026813337916809	[0.97718631 0.11392405]	[0.78593272 0.6       ]	[0.87118644 0.19148936]
16	16	0.4392344653606415	0.808666094683287	0.8054314197318666	[0.95737705 0.27710843]	[0.82954545 0.63888889]	[0.88888889 0.38655462]
17	17	0.42720961570739746	0.8082125155063966	0.8040563767617738	[0.95341615 0.28571429]	[0.78316327 0.69387755]	[0.85994398 0.4047619 ]
18	18	0.4354799687862396	0.8093765199001033	0.803970436576143	[0.94011976 0.2745098 ]	[0.80927835 0.58333333]	[0.86980609 0.37333333]
19	19	0.421010285615921	0.8111197940859833	0.805259539360605	[0.98823529 0.16901408]	[0.81028939 0.8       ]	[0.89045936 0.27906977]
20	20	0.42816421389579773	0.8103219319194049	0.8061189412169131	[0.95138889 0.12987013]	[0.80351906 0.41666667]	[0.87122417 0.1980198 ]
21	21	0.43322816491127014	0.8104694817721284	0.8039274664833276	[0.95955882 0.12068966]	[0.83653846 0.38888889]	[0.89383562 0.18421053]
22	22	0.428519606590271	0.8138904524315669	0.8050876589893434	[0.95967742 0.1588785 ]	[0.79865772 0.53125   ]	[0.87179487 0.24460432]
23	23	0.4224400222301483	0.8136008175354803	0.80418528704022	[0.92523364 0.23076923]	[0.83193277 0.42857143]	[0.87610619 0.3       ]
24	24	0.422582745552063	0.8162129964096202	0.8051306290821588	[0.95121951 0.16666667]	[0.7733711  0.53333333]	[0.853125   0.25396825]
