	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.4115247130393982	0.814822359151941	0.8106666666666666	[1. 0.]	[0.81524927 0.        ]	[0.89822294 0.        ]
1	1	0.4057408571243286	0.8231230160750963	0.8194666666666667	[0.97044335 0.14285714]	[0.80408163 0.57142857]	[0.87946429 0.22857143]
2	2	0.40048426389694214	0.8242433501383443	0.8217333333333333	[0.97641509 0.15517241]	[0.80859375 0.64285714]	[0.88461538 0.25      ]
3	3	0.4077906310558319	0.8254315832357285	0.8252	[0.96482412 0.16      ]	[0.82051282 0.53333333]	[0.88683603 0.24615385]
4	4	0.39478620886802673	0.8219517577362462	0.8186666666666667	[1.         0.06382979]	[0.82539683 1.        ]	[0.90434783 0.12      ]
5	5	0.4009344279766083	0.8256183055796031	0.8230666666666666	[0.96391753 0.32692308]	[0.84234234 0.70833333]	[0.89903846 0.44736842]
6	6	0.3944472372531891	0.826127548335625	0.8234666666666667	[0.96236559 0.19565217]	[0.8287037 0.5625   ]	[0.89054726 0.29032258]
7	7	0.39665159583091736	0.826721664884317	0.8237333333333333	[0.95555556 0.3877551 ]	[0.85148515 0.7037037 ]	[0.90052356 0.5       ]
8	8	0.3974214196205139	0.8277062008792925	0.8248	[0.97008547 0.25      ]	[0.87307692 0.61111111]	[0.91902834 0.35483871]
9	9	0.39135268330574036	0.8284870397718592	0.8249333333333333	[0.98654709 0.15217391]	[0.84942085 0.7       ]	[0.91286307 0.25      ]
10	10	0.3972019553184509	0.8240057035188675	0.8178666666666666	[0.99479167 0.06818182]	[0.82327586 0.75      ]	[0.9009434 0.125    ]
11	11	0.39270052313804626	0.8286228378401317	0.824	[0.95260664 0.3030303 ]	[0.89732143 0.5       ]	[0.92413793 0.37735849]
12	12	0.39009878039360046	0.8302184651423333	0.8269333333333333	[0.99494949 0.28571429]	[0.84913793 0.93333333]	[0.91627907 0.4375    ]
13	13	0.388691246509552	0.8304051874862081	0.826	[0.9790795  0.20408163]	[0.85714286 0.66666667]	[0.9140625 0.3125   ]
14	14	0.3857443034648895	0.8287925854254723	0.8252	[0.964      0.19230769]	[0.85159011 0.52631579]	[0.9043152  0.28169014]
15	15	0.38310396671295166	0.8333927449882026	0.8269333333333333	[0.97435897 0.14285714]	[0.84444444 0.53846154]	[0.9047619  0.22580645]
16	16	0.3807419240474701	0.832951401266317	0.8245333333333333	[0.98529412 0.11363636]	[0.8375 0.625 ]	[0.90540541 0.19230769]
17	17	0.38089221715927124	0.8337661896759518	0.8241333333333334	[0.95305164 0.29411765]	[0.84937238 0.6       ]	[0.89823009 0.39473684]
18	18	0.38173383474349976	0.8361426558707202	0.8229333333333333	[0.93782383 0.325     ]	[0.87019231 0.52      ]	[0.90274314 0.4       ]
19	19	0.3755514919757843	0.8380268540680009	0.8252	[0.96354167 0.2173913 ]	[0.83710407 0.58823529]	[0.89588378 0.31746032]
20	20	0.3754177689552307	0.8388416424776357	0.8222666666666667	[0.98305085 0.1875    ]	[0.81690141 0.75      ]	[0.89230769 0.3       ]
21	21	0.37316974997520447	0.8401656736432924	0.8262666666666667	[0.94811321 0.2       ]	[0.84810127 0.45      ]	[0.89532294 0.27692308]
22	22	0.368889182806015	0.844018943830524	0.8210666666666666	[0.91145833 0.30434783]	[0.84541063 0.4516129 ]	[0.87719298 0.36363636]
23	23	0.3643152117729187	0.8461068391302133	0.8234666666666667	[0.96226415 0.33333333]	[0.87179487 0.65217391]	[0.91479821 0.44117647]
24	24	0.3563958704471588	0.8519970803415321	0.8225333333333333	[0.94420601 0.27272727]	[0.87301587 0.48      ]	[0.90721649 0.34782609]
