	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.42005613446235657	0.8305240107959464	0.8245333333333333	[0.98561151 0.14285714]	[0.83536585 0.69230769]	[0.90429043 0.23684211]
1	1	0.3582002520561218	0.8682928485342296	0.8585333333333334	[0.97536946 0.44642857]	[0.86462882 0.83333333]	[0.91666667 0.58139535]
2	2	0.3229025602340698	0.87749316765969	0.8668	[0.97641509 0.44827586]	[0.86610879 0.83870968]	[0.91796009 0.58426966]
3	3	0.3115786910057068	0.867579908675799	0.8545333333333334	[0.95979899 0.58      ]	[0.9009434  0.78378378]	[0.92944039 0.66666667]
4	4	0.29301708936691284	0.8909371764186654	0.8765333333333334	[0.95673077 0.4893617 ]	[0.89237668 0.71875   ]	[0.92343387 0.58227848]
5	5	0.28684017062187195	0.895333638878987	0.8741333333333333	[0.92783505 0.5       ]	[0.87378641 0.65      ]	[0.9        0.56521739]
6	6	0.27705153822898865	0.8990680857564801	0.8761333333333333	[0.9516129  0.45652174]	[0.87623762 0.7       ]	[0.91237113 0.55263158]
7	7	0.26618942618370056	0.9038210181460169	0.8769333333333333	[0.97777778 0.55102041]	[0.88888889 0.87096774]	[0.93121693 0.675     ]
8	8	0.2536960244178772	0.9056373173091613	0.8714666666666666	[0.94444444 0.45454545]	[0.90204082 0.60606061]	[0.92275574 0.51948052]
9	9	0.24229460954666138	0.9127157916178642	0.8754666666666666	[0.96412556 0.56521739]	[0.91489362 0.76470588]	[0.93886463 0.65      ]
10	10	0.23283998668193817	0.9199470387533737	0.8776	[0.96354167 0.52272727]	[0.89805825 0.76666667]	[0.92964824 0.62162162]
11	11	0.22087697684764862	0.9263634974792484	0.8728	[0.94312796 0.51515152]	[0.9255814 0.5862069]	[0.9342723 0.5483871]
12	12	0.20487195253372192	0.9329666785489976	0.8742666666666666	[0.96464646 0.73469388]	[0.93627451 0.8372093 ]	[0.95024876 0.7826087 ]
13	13	0.1894250065088272	0.9392643139651339	0.868	[0.94142259 0.59183673]	[0.91836735 0.6744186 ]	[0.92975207 0.63043478]
14	14	0.17823784053325653	0.9435928773913191	0.8704	[0.948      0.67307692]	[0.93307087 0.72916667]	[0.94047619 0.7       ]
15	15	0.16639444231987	0.9494321943270357	0.8648	[0.93589744 0.44897959]	[0.8902439  0.59459459]	[0.9125     0.51162791]
16	16	0.14984764158725739	0.9560184006382509	0.8686666666666667	[0.92647059 0.5       ]	[0.8957346  0.59459459]	[0.91084337 0.54320988]
17	17	0.13937607407569885	0.9668652713415151	0.8626666666666667	[0.95305164 0.54901961]	[0.89823009 0.73684211]	[0.92482916 0.62921348]
18	18	0.1243036612868309	0.9667634227903108	0.8621333333333333	[0.94300518 0.625     ]	[0.92385787 0.69444444]	[0.93333333 0.65789474]
19	19	0.11099789291620255	0.9735703009624688	0.8582666666666666	[0.96875    0.56521739]	[0.90291262 0.8125    ]	[0.93467337 0.66666667]
20	20	0.10204719007015228	0.9802413810663543	0.8662666666666666	[0.94067797 0.390625  ]	[0.85057471 0.64102564]	[0.89336016 0.48543689]
21	21	0.09202371537685394	0.9814805384393407	0.8597333333333333	[0.9009434  0.53333333]	[0.9009434  0.53333333]	[0.9009434  0.53333333]
22	22	0.08671396225690842	0.9823971754001799	0.8572	[0.91666667 0.63043478]	[0.9119171  0.64444444]	[0.91428571 0.63736264]
23	23	0.07762125879526138	0.9866408650336949	0.8684	[0.96698113 0.66666667]	[0.93181818 0.81081081]	[0.94907407 0.73170732]
24	24	0.07171599566936493	0.9894756497088829	0.8650666666666667	[0.94849785 0.72727273]	[0.94849785 0.72727273]	[0.94849785 0.72727273]
