	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.5043813586235046	0.775101424182241	0.7652	[0.97540984 0.27835052]	[0.77272727 0.81818182]	[0.86231884 0.41538462]
1	1	0.4562259614467621	0.7948091188402845	0.7788	[0.94350282 0.3902439 ]	[0.76958525 0.76190476]	[0.84771574 0.51612903]
2	2	0.4258200228214264	0.8069290964336032	0.7873333333333333	[0.91489362 0.58536585]	[0.83495146 0.75      ]	[0.87309645 0.65753425]
3	3	0.41827109456062317	0.8131588328156032	0.7881333333333334	[0.95321637 0.53846154]	[0.81909548 0.84      ]	[0.88108108 0.65625   ]
4	4	0.4025960862636566	0.8249732647553089	0.7974666666666667	[0.90285714 0.4375    ]	[0.77832512 0.67307692]	[0.83597884 0.53030303]
5	5	0.3931037187576294	0.8357692111829709	0.7994666666666667	[0.86666667 0.59259259]	[0.8125     0.68571429]	[0.83870968 0.63576159]
6	6	0.3819202482700348	0.8431871806623551	0.8032	[0.9068323  0.43661972]	[0.78494624 0.67391304]	[0.84149856 0.52991453]
7	7	0.3647613525390625	0.8524044745463496	0.7990666666666667	[0.93055556 0.54117647]	[0.77456647 0.82142857]	[0.84542587 0.65248227]
8	8	0.3540114164352417	0.8577175739675104	0.7933333333333333	[0.87559809 0.43478261]	[0.82432432 0.53571429]	[0.84918794 0.48      ]
9	9	0.3364849388599396	0.869565955424284	0.7949333333333334	[0.93069307 0.68656716]	[0.89952153 0.76666667]	[0.91484185 0.72440945]
10	10	0.32071438431739807	0.8785965269644039	0.7921333333333334	[0.89285714 0.54411765]	[0.82872928 0.67272727]	[0.85959885 0.60162602]
11	11	0.2994369864463806	0.8920744852404474	0.7941333333333334	[0.86528497 0.62745098]	[0.89784946 0.55172414]	[0.88126649 0.58715596]
12	12	0.28229689598083496	0.9016482490536573	0.7886666666666666	[0.89090909 0.67073171]	[0.84482759 0.75342466]	[0.86725664 0.70967742]
13	13	0.2572043240070343	0.9124272207227853	0.7834666666666666	[0.86757991 0.44927536]	[0.83333333 0.51666667]	[0.85011186 0.48062016]
14	14	0.2410466969013214	0.918877628965728	0.7730666666666667	[0.84579439 0.64772727]	[0.85377358 0.63333333]	[0.84976526 0.64044944]
15	15	0.22395682334899902	0.925684507137886	0.7848	[0.88780488 0.48717949]	[0.81981982 0.62295082]	[0.85245902 0.54676259]
16	16	0.20083053410053253	0.9372952419751829	0.7793333333333333	[0.87222222 0.54411765]	[0.83510638 0.61666667]	[0.85326087 0.578125  ]
17	17	0.1919180303812027	0.9438135492522619	0.7738666666666667	[0.86440678 0.45977011]	[0.765 0.625]	[0.81167109 0.52980132]
18	18	0.16769208014011383	0.9526234489314389	0.7729333333333334	[0.8452381  0.61538462]	[0.8502994  0.60606061]	[0.84776119 0.61068702]
19	19	0.15591272711753845	0.9547622685067305	0.7602666666666666	[0.81875    0.57692308]	[0.79878049 0.60810811]	[0.80864198 0.59210526]
20	20	0.14328959584236145	0.9613315000594117	0.7778666666666667	[0.82914573 0.40594059]	[0.73333333 0.54666667]	[0.77830189 0.46590909]
21	21	0.13325993716716766	0.9694793841557604	0.7712	[0.86315789 0.64179104]	[0.87234043 0.62318841]	[0.86772487 0.63235294]
22	22	0.11755014210939407	0.9698188793264416	0.7710666666666667	[0.84567901 0.63157895]	[0.83030303 0.65753425]	[0.83792049 0.6442953 ]
23	23	0.11285131424665451	0.9711768600091664	0.7802666666666667	[0.88043478 0.49315068]	[0.81407035 0.62068966]	[0.845953   0.54961832]
24	24	0.10896995663642883	0.97390979613315	0.7758666666666667	[0.89371981 0.67142857]	[0.88942308 0.68115942]	[0.89156627 0.67625899]
