	epochs	train_losses	train_accs	dev_accs
0	0	0.5512645244598389	0.8036032899603986	0.7964964591874767
1	1	0.47533127665519714	0.8338918142651986	0.8289228475587029
2	2	0.3923138380050659	0.8486879324600722	0.8438315318673127
3	3	0.3546309471130371	0.8700117498585666	0.867312709653373
4	4	0.31880947947502136	0.8697071238957309	0.8706671636228103
5	5	0.3051135838031769	0.8828060402976631	0.8907938874394334
6	6	0.29731303453445435	0.8815440184516298	0.8863212821468506
7	7	0.2860192656517029	0.8823273423560642	0.8840849795005591
8	8	0.27995675802230835	0.8880281996605597	0.8889303019008572
9	9	0.27279040217399597	0.8858522999260194	0.8844576966082743
10	10	0.2720729410648346	0.8889420775490665	0.8866939992545658
11	11	0.26981788873672485	0.8854606379738021	0.8855758479314201
12	12	0.2620318531990051	0.8972540145350102	0.8956392098397317
13	13	0.2566835284233093	0.8984725183863528	0.8937756243011554
14	14	0.2542400360107422	0.8968188345881022	0.8915393216548639
15	15	0.25201651453971863	0.8952957047739241	0.8833395452851286
16	16	0.24674329161643982	0.902215065929762	0.8948937756243012
17	17	0.2479373812675476	0.9026067278819792	0.8960119269474469
18	18	0.24356210231781006	0.8968188345881022	0.8807305255311219
19	19	0.2391429841518402	0.9083511031811654	0.8934029071934402
20	20	0.2306794822216034	0.9056965055050263	0.8937756243011554
21	21	0.22794890403747559	0.9013882240306367	0.8878121505777116
22	22	0.22853872179985046	0.9020409939509988	0.8911666045471487
23	23	0.22598017752170563	0.9138343705122068	0.8982482295937384
24	24	0.21962665021419525	0.9207537316680448	0.8878121505777116
