	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.5424876847290641	0.5466417910447762
1	1	8.670247077941895	0.45751231527093594	0.4533582089552239
2	501	0.6539066433906555	0.5715825123152709	0.5461753731343284
3	1001	0.6316087245941162	0.6848830049261084	0.6627798507462687
4	1501	0.5672211050987244	0.6779556650246306	0.664179104477612
5	2001	0.4934925436973572	0.7786330049261084	0.742070895522388
6	2501	0.36078324913978577	0.8474445812807881	0.7989738805970149
7	3001	0.34637999534606934	0.7778633004926109	0.7210820895522388
8	3501	0.2892836630344391	0.8843903940886699	0.8111007462686567
9	4001	0.2470642775297165	0.8757697044334976	0.7821828358208955
10	4501	0.15013816952705383	0.9458128078817734	0.7985074626865671
11	5001	0.08359010517597198	0.9732142857142857	0.8129664179104478
