	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.5078509852216748	0.5018656716417911
1	1	6.931049823760986	0.45520320197044334	0.46455223880597013
2	501	0.6438460946083069	0.6313115763546798	0.6175373134328358
3	1001	0.6453179121017456	0.6380849753694581	0.6240671641791045
4	1501	0.5297898650169373	0.666256157635468	0.6343283582089553
5	2001	0.46379905939102173	0.7954125615763546	0.7737873134328358
6	2501	0.36251384019851685	0.812192118226601	0.7765858208955224
7	3001	0.46506521105766296	0.8194273399014779	0.746268656716418
8	3501	0.36241811513900757	0.8488300492610837	0.7835820895522388
9	4001	0.32588648796081543	0.8999384236453202	0.8148320895522388
10	4501	0.24085204303264618	0.8934729064039408	0.7980410447761194
11	5001	0.23076263070106506	0.9319581280788177	0.820429104477612
