	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.7831632653061225	0.796875
1	1	0.619550347328186	0.8258928571428571	0.818359375
2	501	0.3117832541465759	0.8832908163265306	0.724609375
3	1001	0.03611309826374054	0.9929846938775511	0.791015625
4	1501	0.00047455888125114143	1.0	0.796875
5	2001	0.00010017282329499722	1.0	0.796875
6	2501	4.877416722592898e-05	1.0	0.791015625
7	3001	2.3722725018160418e-05	1.0	0.79296875
8	3501	2.038099046330899e-05	1.0	0.7890625
9	4001	1.0386310350440908e-05	1.0	0.794921875
10	4501	7.2102602644008584e-06	1.0	0.79296875
