	train_steps	train_losses	train_accs	dev_accs
0	1	0.699467658996582	0.49425037969190716	0.5149739583333334
1	501	0.6833436489105225	0.5745280972011282	0.5638020833333334
2	1001	0.6579058766365051	0.6409199392492949	0.59765625
3	1501	0.604452908039093	0.6895205033629854	0.6061197916666666
4	2001	0.5754278898239136	0.7355174658277284	0.6165364583333334
5	2501	0.4243561327457428	0.8385766977652419	0.630859375
6	3001	0.2927667498588562	0.9312215231069646	0.6158854166666666
7	3501	0.12153782695531845	0.9568236059882838	0.625
8	4001	0.09925491362810135	0.9754827511390757	0.62109375
9	4501	0.08799687772989273	0.9843783901063138	0.6282552083333334
10	5001	0.08280304074287415	0.9943588630939466	0.6184895833333334
11	5501	0.059668608009815216	0.9937079626817097	0.6028645833333334
12	6001	0.07041633129119873	0.9915382946409199	0.6022135416666666
13	6501	0.03603968769311905	0.9952267303102625	0.6106770833333334
14	7001	0.04600124433636665	0.9950097635061835	0.607421875
