	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.7213010204081632	0.724609375
1	1	2.4001028537750244	0.19834183673469388	0.224609375
2	501	0.016654901206493378	0.9993622448979592	0.763671875
3	1001	0.00024884959566406906	1.0	0.8125
4	1501	0.00010162281250813976	1.0	0.814453125
5	2001	4.980123048881069e-05	1.0	0.814453125
6	2501	2.9576747692772187e-05	1.0	0.8125
7	3001	1.8646916942088865e-05	1.0	0.80859375
8	3501	1.1838552381959744e-05	1.0	0.818359375
9	4001	7.618551535415463e-06	1.0	0.818359375
10	4501	5.09651590618887e-06	1.0	0.818359375
