	epochs	train_losses	train_accs	dev_accs
0	0	0.992872416973114	0.7694851821228078	0.7715244129705553
1	1	0.7335729598999023	0.8279733669872492	0.8222139396198286
2	2	0.45743370056152344	0.842508377213978	0.8360044726052925
3	3	0.3775576949119568	0.8163975803994952	0.8069325382035035
4	4	0.3713093400001526	0.8541711997911137	0.8419679463287365
5	5	0.36067190766334534	0.8644414465381435	0.844204248975028
6	6	0.3469858169555664	0.8125244788720136	0.8035780842340663
7	7	0.3402418792247772	0.8830236302711171	0.8665672754379427
8	8	0.3273322880268097	0.880369032594978	0.8777487886693999
9	9	0.2967369258403778	0.8739283693807389	0.8684308609765188
10	10	0.29027625918388367	0.8850254580268941	0.8822213939619828
11	11	0.2815798223018646	0.8905522433526263	0.8803578084234066
12	12	0.2670539319515228	0.8811523564994125	0.871785314945956
13	13	0.25688841938972473	0.9001262021846034	0.8833395452851286
14	14	0.2577047348022461	0.8994734322642413	0.8907938874394334
15	15	0.2558313310146332	0.8947299708429436	0.8796123742079761
16	16	0.2475769966840744	0.9062622394360068	0.8870667163622811
17	17	0.24322006106376648	0.9036946777492493	0.8859485650391353
18	18	0.24480830132961273	0.8978197484659907	0.8777487886693999
19	19	0.24181176722049713	0.9093955350537447	0.8881848676854268
20	20	0.23413938283920288	0.9072196353192045	0.8874394334699963
21	21	0.22927922010421753	0.9118325427564298	0.8915393216548639
22	22	0.2310735434293747	0.9159667522520563	0.8889303019008572
23	23	0.22592982649803162	0.9091344270855999	0.8852031308237048
24	24	0.2217075526714325	0.9255407110840332	0.8945210585165859
