	epochs	train_losses	train_accs	dev_accs
0	0	1.4397258758544922	0.7521068326202516	0.7398273736128237
1	1	1.168591856956482	0.7921690652145728	0.7875051376900946
2	2	0.9737721681594849	0.7805004537793336	0.7768187422934648
3	3	0.8427447080612183	0.8243225722805653	0.8105219893136046
4	4	0.753139317035675	0.8380656035265137	0.8203863542951089
5	5	0.5881685018539429	0.8470115389601971	0.8269625976161118
6	6	0.47064122557640076	0.8593284065862828	0.8302507192766132
7	7	0.39843031764030457	0.8594580578244522	0.8306617344841759
8	8	0.3729732930660248	0.8638661999222093	0.8302507192766132
9	9	0.35762840509414673	0.8652923635420718	0.833127825729552
10	10	0.3481849133968353	0.8669778296382731	0.835593916974928
11	11	0.33900970220565796	0.8734603915467393	0.8388820386354295
12	12	0.33121684193611145	0.872941786594062	0.8376489930127414
13	13	0.325810045003891	0.8646441073512252	0.8314837648993013
14	14	0.32543855905532837	0.8795539997406975	0.8388820386354295
15	15	0.32084640860557556	0.8751458576429405	0.8429921907110564
16	16	0.3162708282470703	0.8778685336444964	0.8314837648993013
17	17	0.3120495676994324	0.8886295864125502	0.8397040690505548
18	18	0.3054329752922058	0.8967976144172177	0.8594327990135635
19	19	0.2989426255226135	0.8982237780370802	0.8614878750513769
20	20	0.2896389067173004	0.8992609879424348	0.8631319358816276
21	21	0.27682241797447205	0.9123557629975366	0.8766954377311961
22	22	0.26317334175109863	0.9179307662388175	0.87422934648582
23	23	0.25293540954589844	0.8860365616491638	0.8573777229757501
24	24	0.25445234775543213	0.9126150654738753	0.8849157418824497
