	epochs	train_losses	train_accs	dev_accs
0	0	0.7224558591842651	0.7902354720241953	0.7917119354338041
1	1	0.5932320952415466	0.8270684813134587	0.8328418438615551
2	2	0.5244119167327881	0.8478073017930439	0.8424646903616327
3	3	0.48702868819236755	0.8493195074530137	0.8415334471519479
4	4	0.46127137541770935	0.8553683300928926	0.8502250504423405
5	5	0.4419712722301483	0.8577446532728451	0.8533291944746236
6	6	0.3865632116794586	0.8647656081227046	0.854726059289151
7	7	0.3545913100242615	0.8713545042125729	0.8537948160794661
8	8	0.3413074016571045	0.8744869302225102	0.8589166537327332
9	9	0.3262650668621063	0.8912292071721755	0.8631072481763153
10	10	0.3137637972831726	0.8984661914020307	0.8700915722489524
11	11	0.2993581295013428	0.9047310434219054	0.8707124010554089
12	12	0.286005437374115	0.9088356016418233	0.8679186714263541
13	13	0.2712017297744751	0.9208252322315835	0.8724196802731646
14	14	0.25667306780815125	0.9233095701015338	0.8719540586683222
15	15	0.24211476743221283	0.9275221430114495	0.8711780226602515
16	16	0.2305125892162323	0.9244977316915101	0.8691603290392674
17	17	0.21726630628108978	0.933246921581335	0.8680738786279684
18	18	0.20539599657058716	0.9475048606610499	0.8725748874747788
19	19	0.1939879059791565	0.9545258155109095	0.8745925810957629
20	20	0.18018347024917603	0.9579822855908403	0.86776346422474
21	21	0.1674012839794159	0.9639230935407216	0.8728853018780072
22	22	0.15447957813739777	0.9604666234607907	0.8710228154586372
23	23	0.1443028450012207	0.9668394901706632	0.86776346422474
24	24	0.1304362267255783	0.9746165478505077	0.8744373738941487
