	epochs	train_losses	train_accs	dev_accs
0	0	1.0890394449234009	0.6240480438661387	0.6049198658218412
1	1	0.858185887336731	0.6341442186344053	0.6157286619455833
2	2	0.6113712787628174	0.7220940859045215	0.7062989191203877
3	3	0.5435546636581421	0.7530788981243745	0.7357435706298919
4	4	0.5111736059188843	0.8120457809304147	0.8043235184494968
5	5	0.4715617597103119	0.8259280212367814	0.8207230711889676
6	6	0.42615336179733276	0.8492971843857435	0.8445769660827432
7	7	0.3793383836746216	0.8654858784107229	0.8643309727916512
8	8	0.3459194004535675	0.8669219722355194	0.8647036898993664
9	9	0.32909128069877625	0.8741459593541929	0.871785314945956
10	10	0.31747955083847046	0.8722746855824883	0.8665672754379427
11	11	0.311419814825058	0.8775403629400758	0.8676854267610883
12	12	0.3037896752357483	0.8863309978676183	0.874767051807678
13	13	0.29545795917510986	0.887941163671178	0.874767051807678
14	14	0.2887674868106842	0.8909874232995344	0.8777487886693999
15	15	0.27798622846603394	0.8926846250924757	0.8770033544539695
16	16	0.2704921364784241	0.888855041559685	0.8654491241147969
17	17	0.26799139380455017	0.8988206623438791	0.8691762951919493
18	18	0.26057949662208557	0.9020845119456895	0.8736489004845323
19	19	0.25338199734687805	0.901083598067801	0.876257920238539
20	20	0.24658088386058807	0.904652073632447	0.876257920238539
21	21	0.24445156753063202	0.9003873101527482	0.873276183376817
22	22	0.244090735912323	0.9109621828626137	0.8792396571002609
23	23	0.24084481596946716	0.9033465337917229	0.8721580320536713
24	24	0.23810279369354248	0.9106140389050873	0.8822213939619828
