	epochs	train_losses	train_accs	dev_accs	non_default_accs	non_default_precision_0	non_default_precision_1	non_default_recall_0	non_default_recall_1
0	0	0.557320237159729	0.8272186195256285	0.8263795423956931	0.375	0.25471698113207547	0.6	0.5094339622641509	0.3305084745762712
1	1	0.4801453948020935	0.8290397086257439	0.8310901749663526	0.38653846153846155	0.27906976744186046	0.5555555555555556	0.5454545454545454	0.28735632183908044
2	2	0.397343248128891	0.8416984987119126	0.845222072678331	0.4173076923076923	0.3058823529411765	0.5522388059701493	0.4642857142857143	0.3854166666666667
3	3	0.3735907971858978	0.8664830771964112	0.8741588156123823	0.6019230769230769	0.5428571428571428	0.7450980392156863	0.7450980392156863	0.5428571428571428
4	4	0.3404909074306488	0.8743892688993515	0.879542395693136	0.625	0.6235294117647059	0.6511627906976745	0.7794117647058824	0.4666666666666667
5	5	0.30837589502334595	0.8690148352136449	0.8775235531628532	0.675	0.7037037037037037	0.7804878048780488	0.8636363636363636	0.5714285714285714
6	6	0.30030977725982666	0.8816736252998134	0.8855989232839838	0.6269230769230769	0.5675675675675675	0.7555555555555555	0.7924528301886793	0.5151515151515151
7	7	0.28873127698898315	0.8813627076485743	0.8808882907133243	0.6576923076923077	0.6373626373626373	0.7068965517241379	0.7733333333333333	0.5540540540540541
8	8	0.28126055002212524	0.8845163009682864	0.8872812920592194	0.6019230769230769	0.4	0.7	0.7142857142857143	0.3835616438356164
9	9	0.2736077904701233	0.891534156524829	0.8946837146702558	0.6230769230769231	0.6376811594202898	0.8	0.8	0.6376811594202898
10	10	0.26980793476104736	0.8935773296615439	0.8899730820995962	0.6557692307692308	0.6883116883116883	0.7333333333333333	0.8153846153846154	0.5789473684210527
11	11	0.2660011947154999	0.8861153060318024	0.8859353970390309	0.5846153846153846	0.39622641509433965	0.7948717948717948	0.7241379310344828	0.49206349206349204
12	12	0.26541978120803833	0.8887803144709958	0.8852624495289367	0.6461538461538462	0.581081081081081	0.7727272727272727	0.8113207547169812	0.5230769230769231
13	13	0.2663717567920685	0.8918006573687484	0.8855989232839838	0.6173076923076923	0.6666666666666666	0.6923076923076923	0.76	0.5869565217391305
14	14	0.2626025080680847	0.897175091054455	0.8906460296096904	0.6634615384615384	0.627906976744186	0.75	0.84375	0.4838709677419355
15	15	0.2592697739601135	0.8969530070178555	0.8970390309555855	0.6692307692307692	0.5975609756097561	0.7608695652173914	0.8166666666666667	0.5147058823529411
16	16	0.25408414006233215	0.9003731011814871	0.8953566621803499	0.675	0.6	0.7428571428571429	0.8333333333333334	0.4642857142857143
17	17	0.2458825260400772	0.9062361197477126	0.8970390309555855	0.6596153846153846	0.6341463414634146	0.7142857142857143	0.8387096774193549	0.45454545454545453
18	18	0.24013642966747284	0.9006396020254064	0.892664872139973	0.7384615384615385	0.627906976744186	0.64	0.75	0.5
19	19	0.24025516211986542	0.906014035711113	0.8960296096904441	0.6384615384615384	0.6593406593406593	0.7142857142857143	0.7692307692307693	0.5921052631578947
20	20	0.2393394559621811	0.897974593586213	0.8862718707940781	0.725	0.7702702702702703	0.7	0.8260869565217391	0.6222222222222222
21	21	0.2331644743680954	0.9076130407746291	0.8946837146702558	0.7076923076923077	0.7195121951219512	0.66	0.7763157894736842	0.5892857142857143
22	22	0.2275063395500183	0.9039708625743982	0.892328398384926	0.6384615384615384	0.4861111111111111	0.8571428571428571	0.813953488372093	0.5647058823529412
23	23	0.22690604627132416	0.9086346273429866	0.8943472409152086	0.6480769230769231	0.6379310344827587	0.7241379310344828	0.8222222222222222	0.5
24	24	0.22802571952342987	0.9120103046992982	0.8906460296096904	0.7288461538461538	0.7671232876712328	0.7254901960784313	0.8	0.6851851851851852
