	epochs	train_losses	train_accs	dev_accs
0	0	0.3944949507713318	0.8304941886256765	0.8277608915906788
1	1	0.3679066002368927	0.8406973649188182	0.8385680513340088
2	2	0.3510977327823639	0.8450004436163606	0.8405943937858832
3	3	0.34279271960258484	0.8430041699937894	0.8324890239783856
4	4	0.3360983729362488	0.8483275663206459	0.8335021952043229
5	5	0.33742794394493103	0.8418507674563038	0.8335021952043229
6	6	0.3180527091026306	0.8119066631177357	0.7946639648767309
7	7	0.32139381766319275	0.8565344689912164	0.8402566700439041
8	8	0.30975791811943054	0.8489042675893888	0.8355285376561973
9	9	0.310489684343338	0.8481057581403603	0.8375548801080716
10	10	0.31733787059783936	0.8575104249844734	0.8311381290104695
11	11	0.3104246258735657	0.8735249756011002	0.8426207362377575
12	12	0.32353323698043823	0.8709520007097862	0.8368794326241135
13	13	0.2990668714046478	0.8797356046490995	0.8382303275920298
14	14	0.28194504976272583	0.8725490196078431	0.8362039851401554
15	15	0.27133995294570923	0.883772513530299	0.8365417088821344
16	16	0.27316004037857056	0.8861680418773844	0.8402566700439041
17	17	0.2809832990169525	0.8864785733297844	0.8338399189463019
18	18	0.2710464298725128	0.8827521959009849	0.812225599459642
19	19	0.2639431953430176	0.8852364475201846	0.8159405606214117
20	20	0.24695460498332977	0.8926448407417266	0.8389057750759878
21	21	0.23309028148651123	0.8681128560021294	0.8301249577845322
22	22	0.22677668929100037	0.8877206991393842	0.8091860857818305
23	23	0.22656109929084778	0.9245408570668087	0.8308004052684904
24	24	0.2184215635061264	0.917265548753438	0.8051334008780817
