	epochs	train_losses	train_accs	dev_accs
0	0	0.4047738313674927	0.8267809507150041	0.8125
1	1	0.38917532563209534	0.8312852582323873	0.8217329545454546
2	2	0.38270682096481323	0.8340840512528972	0.8196022727272727
3	3	0.38805869221687317	0.4548913281147505	0.4524147727272727
4	4	0.3656808137893677	0.6553548782087725	0.6644176136363636
5	5	0.3507561683654785	0.7528753225171645	0.7556818181818182
6	6	0.34424740076065063	0.8447107185026458	0.8352272727272727
7	7	0.3423023521900177	0.8195215813180566	0.8153409090909091
8	8	0.3481757640838623	0.6861416014343814	0.6967329545454546
9	9	0.3310670852661133	0.8524948615909389	0.8270596590909091
10	10	0.32001787424087524	0.841081033804172	0.8238636363636364
11	11	0.3026667833328247	0.8264748327283858	0.8174715909090909
12	12	0.31768301129341125	0.8687191148817073	0.8480113636363636
13	13	0.2955682575702667	0.85634320199414	0.8213778409090909
14	14	0.2983214259147644	0.5754143525604583	0.5653409090909091
15	15	0.2936898171901703	0.8670573315257795	0.8419744318181818
16	16	0.29330122470855713	0.86570166615647	0.8345170454545454
17	17	0.27990421652793884	0.8929461669654961	0.8387784090909091
18	18	0.27154555916786194	0.5897144356496261	0.5912642045454546
19	19	0.26433056592941284	0.6948003673415839	0.6676136363636364
20	20	0.2615274488925934	0.878427428171601	0.83203125
21	21	0.24915461242198944	0.8898412559583679	0.8387784090909091
22	22	0.23523885011672974	0.8795207066952376	0.8334517045454546
23	23	0.23227155208587646	0.866532557834434	0.7982954545454546
24	24	0.22414220869541168	0.8941706389119692	0.8338068181818182
