	epochs	train_losses	train_accs	dev_accs
0	0	0.36965441703796387	0.5451524030261949	0.5479403409090909
1	1	0.3586041033267975	0.8477718983688285	0.8441051136363636
2	2	0.3499819040298462	0.833034503870206	0.8245738636363636
3	3	0.35743460059165955	0.8475095115231557	0.8377130681818182
4	4	0.34508535265922546	0.8517951633358114	0.8370028409090909
5	5	0.33680349588394165	0.8440547513884638	0.8306107954545454
6	6	0.32524415850639343	0.8215769449424936	0.8149857954545454
7	7	0.3271755874156952	0.8631215288406875	0.8448153409090909
8	8	0.3244525194168091	0.8657453972974155	0.8501420454545454
9	9	0.31760120391845703	0.8697249311234531	0.8487215909090909
10	10	0.31002378463745117	0.8614160143438142	0.8380681818181818
11	11	0.28979530930519104	0.8608475095115231	0.8302556818181818
12	12	0.2979506552219391	0.8708619407880351	0.84375
13	13	0.27836287021636963	0.8719114881707264	0.8448153409090909
14	14	0.28999364376068115	0.8050465736651069	0.7737926136363636
15	15	0.26306411623954773	0.8931648226702235	0.8497869318181818
16	16	0.2687790095806122	0.8964446582411335	0.8444602272727273
17	17	0.2763683497905731	0.8747977434731272	0.8341619318181818
18	18	0.2548191249370575	0.9034416407924083	0.8394886363636364
19	19	0.239057719707489	0.8545502252153758	0.7950994318181818
20	20	0.23645074665546417	0.909126689115319	0.8345170454545454
21	21	0.2177058905363083	0.9155551668343027	0.8405539772727273
22	22	0.21111024916172028	0.9294616696549614	0.83984375
23	23	0.20421887934207916	0.8879608168977129	0.8196022727272727
24	24	0.19530555605888367	0.8274369178291862	0.7947443181818182
