	epochs	train_losses	train_accs	dev_accs
0	0	0.9831048250198364	0.6114383682081941	0.5964001384562132
1	1	0.7950488328933716	0.619878670652365	0.6036690896503981
2	2	0.5910024046897888	0.7116669597327238	0.6957424714434061
3	3	0.5503128170967102	0.773430631264287	0.752509518864659
4	4	0.5279538631439209	0.7723755934587656	0.752509518864659
5	5	0.503359317779541	0.8140495867768595	0.8044305988231222
6	6	0.45580562949180603	0.8495252329875154	0.8397369331948771
7	7	0.41960108280181885	0.8479866361877967	0.8376600899965386
8	8	0.3786407709121704	0.8566027782662212	0.8449290411907234
9	9	0.3450768291950226	0.8726481448918586	0.8594669435790931
10	10	0.3292621672153473	0.8759011781255495	0.8639667705088265
11	11	0.3148243725299835	0.8784948127307896	0.8636206299757702
12	12	0.302914559841156	0.8815280464216635	0.8608515057113187
13	13	0.29969099164009094	0.8798575698962546	0.8632744894427138
14	14	0.2934960424900055	0.8844733602954106	0.86846659743856
15	15	0.27958908677101135	0.8858800773694391	0.8656974731741087
16	16	0.2760047912597656	0.8925619834710744	0.8663897542402216
17	17	0.26888009905815125	0.8976173729558643	0.8764278296988577
18	18	0.2640513479709625	0.8877703534376649	0.8663897542402216
19	19	0.2570781707763672	0.8871988746263407	0.864312911041883
20	20	0.2480814903974533	0.9089150694566556	0.8760816891658013
21	21	0.239310160279274	0.9075083523826271	0.8663897542402216
22	22	0.23111017048358917	0.9085633901881484	0.8677743163724472
23	23	0.22541138529777527	0.9097942676279234	0.8670820353063343
24	24	0.2213316261768341	0.9096623879022332	0.8639667705088265
