	epochs	train_losses	train_accs	dev_accs
0	0	0.5315147042274475	0.8241164058378758	0.8020076150917272
1	1	0.4579172134399414	0.8525145067698259	0.8303911388023537
2	2	0.3752584755420685	0.8709337084578864	0.8383523710626515
3	3	0.3349809944629669	0.8869790750835238	0.8411214953271028
4	4	0.301029771566391	0.9082996307367681	0.8383523710626515
5	5	0.2686575949192047	0.9224547212941797	0.8390446521287642
6	6	0.23482422530651093	0.9350272551433093	0.8404292142609899
7	7	0.20440705120563507	0.9425883594162124	0.831429560401523
8	8	0.18034546077251434	0.9498417443291718	0.8345448251990308
9	9	0.158517524600029	0.9539739757341305	0.8348909657320872
10	10	0.14181803166866302	0.956743449973624	0.8352371062651437
11	11	0.1295558661222458	0.9589414454017936	0.8362755278643129
12	12	0.11933241784572601	0.960567962018639	0.824852890273451
13	13	0.11251988261938095	0.9596448039388078	0.8362755278643129
14	14	0.10793455690145493	0.9624582380868648	0.8293527172031845
15	15	0.10313273221254349	0.9639528749780201	0.833852544132918
16	16	0.09893377870321274	0.9654914717777388	0.829698857736241
17	17	0.0927739217877388	0.9664146298575699	0.838006230529595
18	18	0.09145025908946991	0.9657991911376824	0.8373139494634821
19	19	0.08894477039575577	0.966194830314753	0.8324679820006923
20	20	0.08677408844232559	0.9676455072973448	0.8303911388023537
21	21	0.08487225323915482	0.9681730262001055	0.8317757009345794
22	22	0.0805136188864708	0.9684367856514858	0.8307372793354102
23	23	0.08052628487348557	0.9685247054686126	0.8317757009345794
24	24	0.0803007185459137	0.9674257077545279	0.8272758740048459
