	epochs	train_losses	train_accs	dev_accs
0	0	0.2558314800262451	0.7356281822533618	0.7547521431233694
1	1	0.2063388228416443	0.8301927847164803	0.8266865449124114
2	2	0.1472330391407013	0.8565646894991079	0.844204248975028
3	3	0.1198582872748375	0.8748422472692459	0.8505404398061871
4	4	0.10776582360267639	0.8927716610818573	0.8531494595601938
5	5	0.09631815552711487	0.9100918229687976	0.8486768542676109
6	6	0.08472365140914917	0.9259758910309412	0.8460678345136041
7	7	0.07405701279640198	0.9388136994647287	0.8360044726052925
8	8	0.06477081030607224	0.9473432264241264	0.8393589265747298
9	9	0.05537715181708336	0.9514774359197529	0.8263138278046962
10	10	0.04912915080785751	0.9565255233038862	0.8311591502049944
11	11	0.043879613280296326	0.9595282649375517	0.8319045844204249
12	12	0.039649706333875656	0.9607467687888942	0.8333954528512859
13	13	0.03679737076163292	0.9608773227729667	0.8292955646664182
14	14	0.03389653190970421	0.9608338047782758	0.8255683935892657
