	epochs	train_losses	train_accs	dev_accs
0	0	0.508824348449707	0.8189730965359592	0.8089304257528557
1	1	0.4816919267177582	0.819280815895903	0.809276566285912
2	2	0.45539289712905884	0.8187972569017057	0.8099688473520249
3	3	0.4530846178531647	0.8202039739757341	0.8106611284181378
4	4	0.4519392251968384	0.8203358537014243	0.8106611284181378
5	5	0.45199885964393616	0.8202479338842975	0.8106611284181378
6	6	0.45023107528686523	0.819852294707227	0.8099688473520249
7	7	0.448824405670166	0.8202479338842975	0.8106611284181378
8	8	0.44946199655532837	0.8204237735185511	0.8103149878850814
9	9	0.4472090005874634	0.8203798136099877	0.8103149878850814
10	10	0.4473121166229248	0.8202918937928609	0.8106611284181378
11	11	0.4496482312679291	0.8207754527870582	0.8106611284181378
12	12	0.44822660088539124	0.8207314928784948	0.8106611284181378
13	13	0.4466988742351532	0.8208194126956216	0.8103149878850814
14	14	0.44573691487312317	0.8211271320555653	0.8099688473520249
15	15	0.4417332410812378	0.8211271320555653	0.8110072689511942
16	16	0.4439290165901184	0.8214348514155091	0.8099688473520249
17	17	0.44420957565307617	0.8220063302268331	0.8120456905503635
18	18	0.4432790279388428	0.8217865306840162	0.8120456905503635
19	19	0.4391750991344452	0.8225778090381572	0.8089304257528557
20	20	0.4380156695842743	0.8227096887638474	0.8099688473520249
21	21	0.4364391267299652	0.8243801652892562	0.8096227068189685
22	22	0.43396058678627014	0.8260946017232285	0.8085842852197992
23	23	0.4313243627548218	0.8256989625461579	0.8103149878850814
24	24	0.42697790265083313	0.8270177598030596	0.8071997230875736
