	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.355509489774704	0.8486191033932542	0.8461333333333333	[0.98561151 0.19047619]	[0.84307692 0.75      ]	[0.90878939 0.30379747]
1	1	0.3105115294456482	0.8746244334674339	0.8693333333333333	[0.97044335 0.5       ]	[0.87555556 0.82352941]	[0.92056075 0.62222222]
2	2	0.29782000184059143	0.8796150124764476	0.8693333333333333	[0.93867925 0.48275862]	[0.86899563 0.68292683]	[0.90249433 0.56565657]
3	3	0.29886603355407715	0.8786814007570742	0.8705333333333334	[0.9798995 0.48     ]	[0.88235294 0.85714286]	[0.92857143 0.61538462]
4	4	0.28224459290504456	0.8827213932881804	0.8725333333333334	[0.94711538 0.4893617 ]	[0.89140271 0.67647059]	[0.91841492 0.56790123]
5	5	0.2862294912338257	0.8849450866561424	0.8761333333333333	[0.93814433 0.59615385]	[0.89655172 0.72093023]	[0.91687657 0.65263158]
6	6	0.2742234170436859	0.8879156693996028	0.8773333333333333	[0.94623656 0.52173913]	[0.88888889 0.70588235]	[0.91666667 0.6       ]
7	7	0.2656016945838928	0.8904958326967799	0.878	[0.95555556 0.67346939]	[0.91489362 0.80487805]	[0.93478261 0.73333333]
8	8	0.26456451416015625	0.8949941437083058	0.8765333333333334	[0.94444444 0.52272727]	[0.91322314 0.63888889]	[0.92857143 0.575     ]
9	9	0.25536251068115234	0.9001544703026599	0.8796	[0.95515695 0.60869565]	[0.92207792 0.73684211]	[0.93832599 0.66666667]
10	10	0.25199952721595764	0.9016312742951231	0.8816	[0.96875    0.56818182]	[0.90731707 0.80645161]	[0.93702771 0.66666667]
11	11	0.24453109502792358	0.9067916008894773	0.8816	[0.92890995 0.63636364]	[0.94230769 0.58333333]	[0.93556086 0.60869565]
12	12	0.23331096768379211	0.9142604946444637	0.8809333333333333	[0.97474747 0.73469388]	[0.9368932  0.87804878]	[0.95544554 0.8       ]
13	13	0.22170619666576385	0.9189625027583983	0.8772	[0.93723849 0.57142857]	[0.91428571 0.65116279]	[0.92561983 0.60869565]
14	14	0.21054622530937195	0.9291303831203002	0.8806666666666667	[0.976      0.65384615]	[0.93129771 0.85      ]	[0.953125   0.73913043]
15	15	0.20343489944934845	0.9327460066880549	0.8825333333333333	[0.94444444 0.51020408]	[0.90204082 0.65789474]	[0.92275574 0.57471264]
16	16	0.18985386192798615	0.9289945850520276	0.8818666666666667	[0.97058824 0.47727273]	[0.8959276  0.77777778]	[0.93176471 0.5915493 ]
17	17	0.1779341846704483	0.942455568569537	0.8694666666666667	[0.91549296 0.74509804]	[0.9375     0.67857143]	[0.9263658  0.71028037]
18	18	0.16519764065742493	0.9537098334776187	0.8721333333333333	[0.93782383 0.725     ]	[0.94270833 0.70731707]	[0.94025974 0.71604938]
19	19	0.14390252530574799	0.9618237680568994	0.8766666666666667	[0.94791667 0.69565217]	[0.92857143 0.76190476]	[0.93814433 0.72727273]
20	20	0.13479556143283844	0.9672047665121963	0.8732	[0.9279661 0.5625   ]	[0.88663968 0.67924528]	[0.9068323  0.61538462]
21	21	0.11326715350151062	0.9746397107501146	0.8708	[0.9245283 0.6      ]	[0.91588785 0.62790698]	[0.92018779 0.61363636]
22	22	0.10573497414588928	0.9775084449423707	0.8658666666666667	[0.90625    0.69565217]	[0.92553191 0.64      ]	[0.91578947 0.66666667]
23	23	0.08653062582015991	0.9808015480979783	0.8678666666666667	[0.92924528 0.62222222]	[0.92056075 0.65116279]	[0.92488263 0.63636364]
24	24	0.07945571094751358	0.9846038940096077	0.8762666666666666	[0.92703863 0.65909091]	[0.93506494 0.63043478]	[0.93103448 0.64444444]
