	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.33733299374580383	0.8592453022355757	0.854	[0.98201439 0.23809524]	[0.85046729 0.75      ]	[0.9115192  0.36144578]
1	1	0.30982401967048645	0.8673592368148563	0.8616	[0.98522167 0.32142857]	[0.84033613 0.85714286]	[0.90702948 0.46753247]
2	2	0.30024200677871704	0.8694641068730797	0.8670666666666667	[0.93396226 0.37931034]	[0.84615385 0.61111111]	[0.88789238 0.46808511]
3	3	0.3017943799495697	0.8721630934799952	0.868	[0.96984925 0.56      ]	[0.89767442 0.82352941]	[0.93236715 0.66666667]
4	4	0.28679510951042175	0.8758805655989543	0.8673333333333333	[0.9375     0.44680851]	[0.88235294 0.61764706]	[0.90909091 0.51851852]
5	5	0.29235413670539856	0.8770178744207363	0.8730666666666667	[0.93298969 0.51923077]	[0.87864078 0.675     ]	[0.905      0.58695652]
6	6	0.28346574306488037	0.8785965269644039	0.8709333333333333	[0.97311828 0.43478261]	[0.87439614 0.8       ]	[0.92111959 0.56338028]
7	7	0.28031274676322937	0.8785965269644039	0.8694666666666667	[0.98333333 0.53061224]	[0.885      0.89655172]	[0.93157895 0.66666667]
8	8	0.27766653895378113	0.883128787492998	0.8708	[0.95726496 0.45454545]	[0.90322581 0.66666667]	[0.92946058 0.54054054]
9	9	0.2709994316101074	0.8848941623805401	0.8724	[0.98654709 0.54347826]	[0.91286307 0.89285714]	[0.94827586 0.67567568]
10	10	0.2683221399784088	0.8913106211064148	0.8676	[0.95833333 0.38636364]	[0.87203791 0.68      ]	[0.91315136 0.49275362]
11	11	0.261261910200119	0.891938687172175	0.8648	[0.8957346  0.51515152]	[0.92195122 0.43589744]	[0.90865385 0.47222222]
12	12	0.25779858231544495	0.8981174992785728	0.8670666666666667	[0.97979798 0.71428571]	[0.93269231 0.8974359 ]	[0.95566502 0.79545455]
13	13	0.24356763064861298	0.9014275771927144	0.8664	[0.9665272 0.3877551]	[0.88505747 0.7037037 ]	[0.924 0.5  ]
14	14	0.23935312032699585	0.9080986572966	0.8614666666666667	[0.944      0.48076923]	[0.8973384  0.64102564]	[0.92007797 0.54945055]
15	15	0.227627694606781	0.91378520140551	0.8610666666666666	[0.94444444 0.3877551 ]	[0.88047809 0.59375   ]	[0.91134021 0.4691358 ]
16	16	0.21517178416252136	0.9155675510515863	0.8532	[0.94117647 0.38636364]	[0.87671233 0.5862069 ]	[0.90780142 0.46575342]
17	17	0.20831598341464996	0.922561151567619	0.8568	[0.95305164 0.45098039]	[0.87878788 0.6969697 ]	[0.91441441 0.54761905]
18	18	0.19560107588768005	0.9282646704350631	0.8509333333333333	[0.92746114 0.675     ]	[0.93229167 0.65853659]	[0.92987013 0.66666667]
19	19	0.18252891302108765	0.9358523874997878	0.8508	[0.93229167 0.52173913]	[0.89054726 0.64864865]	[0.91094148 0.57831325]
20	20	0.176592156291008	0.9412503607136189	0.8529333333333333	[0.93644068 0.515625  ]	[0.87698413 0.6875    ]	[0.9057377  0.58928571]
21	21	0.1620132476091385	0.9444925395936243	0.8552	[0.9245283  0.42222222]	[0.88288288 0.54285714]	[0.90322581 0.475     ]
22	22	0.14979985356330872	0.9527083227241092	0.8501333333333333	[0.94791667 0.43478261]	[0.875      0.66666667]	[0.91       0.52631579]
23	23	0.1411358267068863	0.9580723464208721	0.8434666666666667	[0.95754717 0.62222222]	[0.92272727 0.75675676]	[0.93981481 0.68292683]
24	24	0.13024240732192993	0.9595152008962673	0.8485333333333334	[0.94849785 0.52272727]	[0.91322314 0.65714286]	[0.93052632 0.58227848]
