	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.39153003692626953	0.8168195902485942	0.8157012719147473	[0.94585987 0.43902439]	[0.86588921 0.67924528]	[0.90410959 0.53333333]
1	1	0.3785831034183502	0.8342577969167546	0.8337057408044002	[0.89520958 0.5959596 ]	[0.8820059  0.62765957]	[0.88855869 0.61139896]
2	2	0.3558025658130646	0.8412527528977152	0.83959264352011	[0.91197183 0.59210526]	[0.89310345 0.64285714]	[0.90243902 0.61643836]
3	3	0.3458169400691986	0.8455972763390149	0.840452045376418	[0.95155709 0.43333333]	[0.88996764 0.65      ]	[0.91973244 0.52      ]
4	4	0.33628129959106445	0.8487941898146883	0.8419130285321417	[0.93454545 0.54639175]	[0.8538206  0.74647887]	[0.89236111 0.63095238]
5	5	0.33705607056617737	0.8524938657514932	0.8455654864214507	[0.92542373 0.58536585]	[0.88925081 0.68571429]	[0.90697674 0.63157895]
6	6	0.31890758872032166	0.8558164698424495	0.8476280508765899	[0.90202703 0.42857143]	[0.82662539 0.5915493 ]	[0.86268174 0.49704142]
7	7	0.3347627520561218	0.8603358671832733	0.8503781368167755	[0.93146417 0.60759494]	[0.90606061 0.68571429]	[0.91858679 0.6442953 ]
8	8	0.31850317120552063	0.8623961003120406	0.848272602268821	[0.90604027 0.5106383 ]	[0.92150171 0.46153846]	[0.91370558 0.48484848]
9	9	0.3180786669254303	0.8652214067512255	0.848272602268821	[0.92097264 0.62765957]	[0.8964497  0.69411765]	[0.90854573 0.65921788]
10	10	0.31634947657585144	0.8681122909027319	0.8509797181161911	[0.9470405  0.39705882]	[0.88115942 0.61363636]	[0.91291291 0.48214286]
11	11	0.29929837584495544	0.8754132762078595	0.8487452732897903	[0.92508143 0.60674157]	[0.89028213 0.7012987 ]	[0.90734824 0.65060241]
12	12	0.2938304543495178	0.8787850635830569	0.8494327947748367	[0.90123457 0.60273973]	[0.90965732 0.57894737]	[0.90542636 0.59060403]
13	13	0.2921910881996155	0.885364694052648	0.8476280508765899	[0.92556634 0.55128205]	[0.89096573 0.65151515]	[0.90793651 0.59722222]
14	14	0.2786571681499481	0.8919771133783998	0.8477999312478515	[0.92105263 0.53125   ]	[0.89090909 0.61818182]	[0.90573013 0.57142857]
15	15	0.27162620425224304	0.8918404931443966	0.8455654864214507	[0.95437262 0.37974684]	[0.83666667 0.71428571]	[0.89165187 0.49586777]
16	16	0.25795021653175354	0.9075518200547574	0.8416552079752492	[0.9147541  0.43373494]	[0.85582822 0.58064516]	[0.88431062 0.49655172]
17	17	0.24511617422103882	0.9092841646219172	0.8439755929872809	[0.93478261 0.50420168]	[0.83611111 0.74074074]	[0.88269795 0.6       ]
18	18	0.2358597368001938	0.9202684314357694	0.8414403575111722	[0.90718563 0.60784314]	[0.88338192 0.66666667]	[0.89512555 0.63589744]
19	19	0.21790491044521332	0.9243670384558634	0.8384754211069096	[0.97254902 0.32394366]	[0.83783784 0.76666667]	[0.90018149 0.45544554]
20	20	0.20632407069206238	0.9351381777046708	0.8371433482296322	[0.89236111 0.61038961]	[0.89547038 0.6025641 ]	[0.89391304 0.60645161]
21	21	0.19303107261657715	0.9465432348392526	0.83529563423857	[0.9375     0.51724138]	[0.90106007 0.63829787]	[0.91891892 0.57142857]
22	22	0.1857415735721588	0.9534015705862101	0.8342643520110004	[0.89247312 0.55140187]	[0.87368421 0.5959596 ]	[0.88297872 0.57281553]
23	23	0.16564364731311798	0.9605276819918137	0.8344362323822619	[0.91900312 0.58974359]	[0.90214067 0.63888889]	[0.91049383 0.61333333]
24	24	0.14354319870471954	0.9643803725907022	0.8332760398762461	[0.91986063 0.46875   ]	[0.83809524 0.66176471]	[0.87707641 0.54878049]
