	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.5678054690361023	0.7184396801955493	0.7101333333333333	[1.         0.07216495]	[0.73053892 1.        ]	[0.84429066 0.13461538]
1	1	0.5597779154777527	0.722921016448541	0.7122666666666667	[0.98870056 0.15853659]	[0.71721311 0.86666667]	[0.83135392 0.26804124]
2	2	0.5515078902244568	0.724907063197026	0.7196	[0.93617021 0.25609756]	[0.74261603 0.63636364]	[0.82823529 0.36521739]
3	3	0.559485912322998	0.7201711055660234	0.7188	[0.9005848  0.29487179]	[0.73684211 0.575     ]	[0.81052632 0.38983051]
4	4	0.5470882058143616	0.7271986555991241	0.7224	[0.96571429 0.1625    ]	[0.71610169 0.68421053]	[0.82238443 0.26262626]
5	5	0.5461538434028625	0.7258746244334674	0.7246666666666667	[0.92121212 0.39506173]	[0.75621891 0.71111111]	[0.83060109 0.50793651]
6	6	0.5443840026855469	0.729693945103631	0.7216	[0.95031056 0.09859155]	[0.70506912 0.46666667]	[0.80952381 0.1627907 ]
7	7	0.5478500127792358	0.7333774677055219	0.7269333333333333	[0.9375     0.25882353]	[0.68181818 0.70967742]	[0.78947368 0.37931034]
8	8	0.5461173057556152	0.7344808270102358	0.7254666666666667	[0.94736842 0.37681159]	[0.82157676 0.7027027 ]	[0.88       0.49056604]
9	9	0.5396226644515991	0.7351428425930641	0.7265333333333334	[0.95049505 0.23880597]	[0.79012346 0.61538462]	[0.86292135 0.34408602]
10	10	0.5419349670410156	0.7339546094956799	0.7230666666666666	[0.93452381 0.14705882]	[0.73023256 0.47619048]	[0.81984334 0.2247191 ]
11	11	0.5383933186531067	0.7357199843832222	0.7252	[0.89119171 0.39215686]	[0.84729064 0.48780488]	[0.86868687 0.43478261]
12	12	0.5378727316856384	0.7384359457486718	0.7296	[0.96969697 0.25609756]	[0.7239819  0.80769231]	[0.82901554 0.38888889]
13	13	0.5326935648918152	0.738792415677887	0.7268	[0.95890411 0.2173913 ]	[0.79545455 0.625     ]	[0.86956522 0.32258065]
14	14	0.53557288646698	0.7395562798119196	0.7276	[0.93925234 0.27272727]	[0.75849057 0.64864865]	[0.83924843 0.384     ]
15	15	0.5265764594078064	0.7437150956527644	0.7285333333333334	[0.94146341 0.11538462]	[0.73664122 0.42857143]	[0.82655246 0.18181818]
16	16	0.5246096253395081	0.7465159308108842	0.7272	[0.91666667 0.25      ]	[0.76388889 0.53125   ]	[0.83333333 0.34      ]
17	17	0.5255439877510071	0.7497071854152875	0.7286666666666667	[0.90960452 0.20689655]	[0.7        0.52941176]	[0.79115479 0.29752066]
18	18	0.5242539644241333	0.7460236628133965	0.7205333333333334	[0.875      0.36923077]	[0.78191489 0.53333333]	[0.8258427  0.43636364]
19	19	0.5176624655723572	0.7508954185126716	0.7173333333333334	[0.925      0.23076923]	[0.71153846 0.6       ]	[0.80434783 0.33333333]
20	20	0.5178601145744324	0.7527286924343501	0.7193333333333334	[0.94974874 0.1980198 ]	[0.7        0.66666667]	[0.80597015 0.30534351]
21	21	0.5100563168525696	0.7573458267556143	0.7209333333333333	[0.88421053 0.32835821]	[0.78873239 0.5       ]	[0.8337469 0.3963964]
22	22	0.5046146512031555	0.7602994347405408	0.7130666666666666	[0.84567901 0.39473684]	[0.74863388 0.54545455]	[0.7942029  0.45801527]
23	23	0.5013514161109924	0.7652730389910204	0.7177333333333333	[0.85869565 0.38356164]	[0.77832512 0.51851852]	[0.81653747 0.44094488]
24	24	0.49879226088523865	0.7720629424046443	0.7154666666666667	[0.9178744  0.34285714]	[0.80508475 0.58536585]	[0.85778781 0.43243243]
