	epochs	train_losses	train_accs	dev_accs	non_default_accs	non_default_precision_0	non_default_precision_1	non_default_recall_0	non_default_recall_1
0	0	0.5187654495239258	0.7539600601752161	0.7630208333333334	0.45866454689984104	0.8	1.0	1.0	0.5
1	1	0.49727827310562134	0.7672045072416743	0.7668087121212122	0.45866454689984104	0.5	0.5	0.6666666666666666	0.3333333333333333
2	2	0.4839453399181366	0.7666440517978821	0.7592329545454546	0.4546899841017488	0.5	0.0	0.4444444444444444	0.0
3	3	0.47532790899276733	0.7799769918291496	0.7613636363636364	0.45151033386327505	0.6666666666666666	0.4	0.6666666666666666	0.4
4	4	0.4616675078868866	0.7880003539718592	0.7566287878787878	0.5095389507154213	0.5	0.5	0.8	0.2
5	5	0.444868803024292	0.796849650452789	0.7627840909090909	0.4379968203497615	1.0	0.0	0.75	0.0
6	6	0.43122708797454834	0.8140172856257928	0.7563920454545454	0.48966613672496023	0.6	0.0	0.5	0.0
7	7	0.4161883592605591	0.8232795492758326	0.7488162878787878	0.5039745627980922	0.5	0.0	0.8	0.0
8	8	0.39760228991508484	0.8436034335270346	0.7469223484848485	0.48966613672496023	1.0	0.6	0.3333333333333333	1.0
9	9	0.3695804476737976	0.8633668623344444	0.7452651515151515	0.519872813990461	0.2857142857142857	0.0	0.3333333333333333	0.0
10	10	0.33896997570991516	0.8744874782454795	0.7407670454545454	0.47456279809220986	0.5	0.0	0.4	0.0
11	11	0.3069601058959961	0.8959617710392024	0.7294034090909091	0.49523052464228934	0.6666666666666666	0.0	1.0	0.0
12	12	0.27644288539886475	0.9075543494292204	0.7331912878787878	0.514308426073132	0.3333333333333333	0.0	1.0	0.0
13	13	0.25019747018814087	0.9268163181027108	0.7272727272727273	0.505564387917329	0.5714285714285714	0.0	0.5714285714285714	0.0
14	14	0.2106650173664093	0.933925252942391	0.7393465909090909	0.505564387917329	0.3333333333333333	0.3333333333333333	0.2	0.5
15	15	0.19467070698738098	0.9449573758886168	0.7270359848484849	0.5095389507154213	0.3333333333333333	0.3333333333333333	0.6	0.14285714285714285
16	16	0.1590595841407776	0.9557240199404148	0.7279829545454546	0.5135135135135135	0.8	0.3333333333333333	0.6666666666666666	0.5
17	17	0.1420508772134781	0.9553700480811775	0.7211174242424242	0.5095389507154213	0.625	0.5	0.625	0.5
18	18	0.13330085575580597	0.964337335181853	0.7320075757575758	0.5206677265500795	0.8	0.0	0.6666666666666666	0.0
19	19	0.12237279862165451	0.9663431757175305	0.7215909090909091	0.5158982511923689	1.0	0.0	0.8571428571428571	0.0
20	20	0.11042377352714539	0.9652812601398189	0.7301136363636364	0.5222575516693164	1.0	0.0	0.8	0.0
21	21	0.0957271158695221	0.972655673873927	0.7270359848484849	0.5262321144674086	0.8	0.0	0.8	0.0
22	22	0.09147756546735764	0.9756939323323796	0.7232481060606061	0.49523052464228934	0.8	0.0	0.8	0.0
23	23	0.08447524160146713	0.9763723783959175	0.7310606060606061	0.49920508744038156	1.0	0.0	0.6666666666666666	0.0
24	24	0.07805030792951584	0.9777292705229934	0.7241950757575758	0.5103338632750397	0.5	0.0	0.8333333333333334	0.0
