	train_steps	train_losses	train_accs	dev_accs
0	1	0.6968613862991333	0	0.4988651838402179
1	1001	0.5285016298294067	0	0.6942805265546982
2	2001	0.23302941024303436	0	0.9164775306400363
3	3001	0.1302139312028885	0	0.9098955969133
4	4001	0.25019121170043945	0	0.9893327280980481
5	5001	0.01738804019987583	0	0.9927371765773945
6	6001	0.004524273332208395	0	0.9997730367680435
7	7001	0.006462883669883013	0	0.9988651838402178
8	8001	0.07974008470773697	0	0.9521107580571947
9	9001	0.01716429367661476	0	0.9979573309123921
10	10001	0.031182413920760155	0	0.9870630957784838
11	11001	0.1182764321565628	0	0.9711756695415342
12	12001	0.002684605773538351	0	0.9990921470721743
13	13001	0.004811132792383432	0	0.9934180662732637
