	train_steps	train_losses	train_accs	dev_accs
0	1	0.6610926389694214	0	0.4990921470721743
1	1001	0.654937744140625	0	0.6811166591012257
2	2001	0.5728631019592285	0	0.7342260553790286
3	3001	0.621252715587616	0	0.728551974580118
4	4001	0.19308549165725708	0	0.8853835678620063
5	5001	0.12443767488002777	0	0.9788924194280526
6	6001	0.42133307456970215	0	0.9130730821606899
7	7001	0.03378912806510925	0	0.9938719927371765
8	8001	0.04996555298566818	0	0.9906945074897866
9	9001	0.06017812341451645	0	0.9353154788924194
10	10001	0.2614622712135315	0	0.9521107580571947
11	11001	0.012340384535491467	0	1.0
12	12001	0.2552873194217682	0	0.9058102587380844
13	13001	0.03352323919534683	0	0.9900136177939174
