	train_steps	train_losses	train_accs	dev_accs
0	1	0.6975373029708862	0	0.43440762596459376
1	1001	0.6836941242218018	0	0.5011348161597822
2	2001	0.5855773687362671	0	0.818656377666818
3	3001	0.42420580983161926	0	0.8107126645483431
4	4001	0.35352668166160583	0	0.9598275079437131
5	5001	0.3334614634513855	0	0.9847934634589196
6	6001	0.3204991817474365	0	0.9786654561960962
7	7001	0.43557536602020264	0	0.8454380390376759
8	8001	0.495338499546051	0	0.8109396277802996
9	9001	0.6140150427818298	0	0.6187017703132093
10	10001	0.6258009076118469	0	0.7930095324557421
11	11001	0.4819859266281128	0	0.8284157966409441
12	12001	0.45040762424468994	0	0.9228325011348162
13	13001	0.37777218222618103	0	0.9319110304130731
