	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.25016722408026754	0.24048096192384769
1	2	0.6445034146308899	0.20735785953177258	0.17635270541082165
2	25	0.3594261705875397	0.7498327759197324	0.48096192384769537
3	48	0.31235235929489136	0.6581939799331104	0.531062124248497
4	71	0.24110274016857147	0.7545150501672241	0.6172344689378757
5	94	0.20071597397327423	0.7558528428093646	0.5871743486973948
6	117	0.17194411158561707	0.7431438127090301	0.5731462925851704
7	140	0.15597783029079437	0.7244147157190636	0.5751503006012024
8	163	0.14479035139083862	0.7397993311036789	0.5811623246492986
9	186	0.13388864696025848	0.7150501672240802	0.5591182364729459
10	209	0.12177667021751404	0.7658862876254181	0.591182364729459
11	232	0.11117751896381378	0.7765886287625418	0.6052104208416834
12	255	0.10627816617488861	0.7859531772575251	0.6352705410821643
13	278	0.0982641950249672	0.7672240802675585	0.5591182364729459
14	301	0.09317362308502197	0.8160535117056856	0.6773547094188377
15	324	0.08562006056308746	0.8401337792642141	0.6432865731462926
16	347	0.07867667824029922	0.802675585284281	0.5831663326653307
17	370	0.0718645304441452	0.8461538461538461	0.6352705410821643
18	393	0.06348027288913727	0.8280936454849498	0.6232464929859719
19	416	0.0598318949341774	0.8033444816053512	0.5951903807615231
20	439	0.055921491235494614	0.8334448160535117	0.6052104208416834
