	train_steps	train_losses	train_accs	dev_accs
0	2	0.6207743883132935	0.5116246498599439	0.5079541839007318
1	66	0.14321556687355042	0.5456932773109243	0.5288471736133206
2	130	0.1357741355895996	0.5940301120448179	0.5649591685226429
3	194	0.1290387362241745	0.6449229691876751	0.617191642804115
4	258	0.12192285060882568	0.6649334733893557	0.6551065860642699
5	322	0.11650402843952179	0.681827731092437	0.6630607699650016
6	386	0.11196579784154892	0.687062324929972	0.6649167462085057
7	450	0.11166344583034515	0.6979866946778711	0.6662424435252943
8	514	0.112955741584301	0.7115721288515406	0.6584473433025771
9	578	0.10892953723669052	0.7284313725490196	0.6579170643758617
