	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.5021505376344086	0.5109677419354839
1	2	0.7002956867218018	0.5043010752688172	0.4870967741935484
2	74	0.692227840423584	0.5266666666666666	0.5341935483870968
3	146	0.6887883543968201	0.5995698924731183	0.5761290322580646
4	218	0.6299927830696106	0.6692473118279569	0.6025806451612903
5	290	0.5804449319839478	0.6978494623655914	0.6070967741935483
6	362	0.5245569944381714	0.7322580645161291	0.6064516129032258
7	434	0.45880183577537537	0.7563440860215054	0.6058064516129033
8	506	0.3913434147834778	0.7855913978494624	0.5948387096774194
9	578	0.3487154245376587	0.7653763440860215	0.5883870967741935
10	650	0.3081001043319702	0.8002150537634408	0.5935483870967742
