	train_steps	train_losses	train_accs	dev_accs
0	2	0.6234756708145142	0	0.6364108692263729
1	74	0.1991969645023346	0	0.6541279160388632
2	146	0.15035085380077362	0	0.7234374188185172
3	218	0.1449735462665558	0	0.7275419545903258
4	290	0.14054018259048462	0	0.7313867096170832
5	362	0.13793180882930756	0	0.7287369460175612
6	434	0.1351342797279358	0	0.7305554112329194
7	506	0.13431404531002045	0	0.7308151919779706
8	578	0.1336679905653	0	0.7299319374447966
9	650	0.13359737396240234	0	0.7322180080012469
