	train_steps	train_losses	train_accs	dev_accs
0	2	0.6234756708145142	0.639308186913317	0.6369304307164753
1	74	0.1991889923810959	0.6552281401506035	0.6543876967839144
2	146	0.15031325817108154	0.7243062957741636	0.7234893749675274
3	218	0.1449589729309082	0.7297562149709452	0.7262950070140801
4	290	0.14054325222969055	0.7354296324313173	0.7294643321037044
5	362	0.13797055184841156	0.7367534298387374	0.7279576037824077
6	434	0.13513240218162537	0.7380084585496682	0.7319582272561957
7	506	0.13430066406726837	0.7420486194684179	0.7280095599314179
8	578	0.13371621072292328	0.7464498160437368	0.7315425780641139
9	650	0.133627787232399	0.7503008630471409	0.7329973502364004
